Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
4,22.78,34.44
4,20.34,25.88
4,20.22,20.88
4,19.56,16.88
4,21.94,33.73
4,20.26,26.44
4,17.46,30.26
4,14.84,43.88
4,20.23,24.36
5,21.49,21.21
5,20.40,43.06
5,20.34,25.88
5,22.89,44.87
5,19.64,30.38
5,16.64,25.00
5,20.89,36.14
5,12.47,26.32
5,23.62,29.47
5,21.51,21.74
5,18.00,25.97
5,16.28,12.22
5,17.52,38.81
6,21.36,35.90
6,13.87,28.00
6,18.83,21.59
6,18.00,25.97
6,13.75,31.03
6,18.44,15.73
6,17.18,47.92
6,20.89,36.14
6,14.39,30.65
6,14.39,30.65
6,10.24,34.15
6,10.04,27.27
6,23.22,26.67
6,18.94,28.75
6,17.88,20.45
6,17.58,25.32
6,16.08,24.66
6,14.68,17.65
6,25.06,25.00
6,25.10,33.33
6,21.57,37.66
6,22.03,28.26
6,20.47,20.62
6,20.28,35.90
6,16.14,17.39
6,14.74,17.11
6,9.69,46.88
6,19.31,28.05
7,16.03,25.37
7,17.90,19.54
7,16.93,29.58
7,15.45,21.43
7,14.09,21.21
7,17.15,10.87
7,11.52,38.64
7,18.25,39.73
7,23.21,24.24
7,19.41,23.81
7,16.22,13.75
7,14.39,16.00
7,13.73,41.18
7,13.71,20.90
7,10.46,33.33
7,13.36,9.21
7,11.95,27.27
7,8.02,27.78
7,25.63,33.33
7,24.30,22.73
7,24.30,22.73
7,24.14,18.63
7,24.04,30.85
7,23.86,21.30
7,23.53,35.44
7,23.27,23.53
7,20.73,20.00
7,19.31,28.05
7,17.67,28.99
7,16.28,12.22
7,15.11,20.29
7,14.47,31.58
8,24.14,18.63
8,21.88,36.78
8,21.51,21.74
8,19.00,20.24
8,18.14,37.31
8,16.28,12.22
8,15.86,25.35
8,14.47,31.58
8,10.12,21.88
8,9.71,18.75
8,8.47,27.03
8,20.95,14.02
8,20.82,24.44
8,25.10,33.33
8,24.12,35.87
8,22.09,26.32
8,22.08,24.04
8,21.70,21.21
8,21.18,38.27
8,19.87,27.91
8,18.83,28.92
8,17.57,17.07
8,17.14,27.03
8,15.93,24.64
8,15.47,16.46
8,13.77,29.31
8,10.72,43.59
8,10.12,21.88
8,9.75,15.00
8,8.57,29.63
8,19.24,23.53
8,13.72,14.52
8,10.64,26.67
8,25.63,33.33
8,18.88,42.65
8,18.64,28.95
8,14.60,37.50
8,10.34,22.92
8,10.12,21.88
8,9.63,22.73
8,22.20,22.33
8,20.74,17.82
8,20.18,26.51
8,18.95,37.84
8,18.94,28.75
8,14.39,16.00
8,14.06,28.33
8,11.52,38.64
8,23.85,32.65
8,23.29,32.94
8,22.51,11.86
8,21.48,30.59
8,21.11,23.81
8,19.02,23.86
8,18.74,36.49
8,18.45,40.58
8,12.88,16.67
