Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
12,9.48,26.83
12,16.43,13.79
12,5.32,44.33
12,15.96,37.10
12,17.10,25.81
12,16.65,12.09
12,22.36,16.47
12,15.18,13.16
12,14.66,24.62
12,12.86,24.14
13,23.75,29.00
13,21.85,15.79
13,22.59,39.08
13,9.08,15.22
13,14.47,31.58
13,22.73,33.71
13,19.11,22.62
13,15.46,36.67
13,27.06,35.51
13,12.75,35.14
13,13.15,39.22
13,10.26,24.44
13,8.12,13.14
13,15.22,17.86
13,9.52,32.50
13,21.51,21.74
13,22.52,20.19
13,14.66,24.62
13,20.01,15.38
13,17.14,16.09
13,22.59,15.08
13,24.14,18.63
13,9.44,37.84
13,21.09,16.67
14,16.50,31.58
14,24.60,30.93
14,17.89,12.63
14,18.98,10.38
14,16.62,23.19
14,15.75,24.44
14,26.30,25.47
14,16.65,12.09
14,22.51,11.86
14,22.38,9.52
14,13.54,13.89
14,16.50,26.09
14,18.10,34.38
14,8.04,37.37
14,19.21,39.73
14,14.32,15.07
14,5.90,12.08
14,12.26,16.67
14,14.60,30.93
15,16.97,36.92
15,24.50,31.52
15,21.71,30.77
15,21.44,32.10
15,22.25,17.27
15,16.65,12.09
15,19.99,21.28
15,21.90,13.79
15,25.64,33.01
15,14.39,16.00
15,6.86,35.84
15,18.68,21.35
15,18.09,26.58
16,23.05,26.47
16,24.13,25.23
16,23.61,23.04
16,25.60,34.38
16,26.77,13.89
16,15.09,26.56
16,11.54,27.45
16,13.15,39.22
16,4.78,41.49
16,21.10,25.33
16,17.24,33.65
16,17.42,29.38
16,18.66,32.88
16,21.27,6.84
17,11.72,35.10
17,17.52,23.61
17,18.67,28.38
17,16.98,19.75
17,14.88,18.84
17,21.17,29.55
17,27.87,20.00
17,22.52,20.19
17,9.60,42.31
17,22.95,18.92
17,24.82,20.00
17,10.66,16.98
17,16.58,30.64
17,21.82,21.11
18,22.84,39.51
18,15.61,42.59
18,28.31,29.61
18,26.67,37.36
18,26.08,25.47
18,18.94,13.41
18,21.85,15.79
18,23.47,35.00
18,19.63,32.50
18,13.77,30.43
18,21.17,29.55
19,18.78,21.54
19,19.45,30.67
19,26.95,38.30
19,29.46,39.29
19,18.44,39.44
19,23.06,24.27
20,27.75,28.26
20,24.74,24.75
20,21.88,36.78
20,14.32,44.07
20,26.33,19.64
21,23.91,32.14
21,20.17,36.84
21,26.33,45.32
21,24.51,39.29
21,19.40,24.14
22,31.82,44.00
23,25.64,39.36
23,28.94,42.55
23,25.78,46.51
24,28.52,40.67
24,31.13,44.15
24,31.91,43.84
27,28.71,42.86
27,30.72,46.15
27.5,33.87,47.62
28,34.22,45.67
28,30.08,43.61
30,30.02,46.23
30,30.26,49.86
31,31.70,48.65
31,33.80,48.12
32,35.41,52.56
32,33.33,46.43
33,36.78,48.97
34,34.09,48.79
35,35.87,27.69
35,33.33,55.36
37,33.30,51.23
38,38.10,49.12
38,35.33,57.00
40,37.90,52.68
41,35.04,54.31
42,36.25,55.96
24,29.65,41.18
14,22.10,32.50
15,18.76,18.52
16,25.65,16.67
15,23.14,14.29
11,13.10,18.52
15,22.10,16.67
14.5,17.33,32.35
15,25.45,29.41
14,16.52,3.85
20,31.85,32.79
14,20.52,9.09
10,15.52,4.17
20,25.45,37.84
20,25.60,31.71
17,23.51,33.33
18,23.51,33.33
8,10.61,33.33
14,21.22,28.26
11,15.82,19.44
10,12.50,19.35
14,25.47,44.19
10,25.15,26.00
16,21.02,41.03
15,22.53,54.05
15,22.16,35.56
17,21.52,35.48
11,15.80,21.05
15,18.25,12.12
8,11.35,23.08
13,16.12,9.52
19,28.53,40.35
11,19.18,38.89
18,25.10,37.21
22,35.12,57.14
14,22.46,41.46
15,22.51,31.82
14,16.52,24.32
12,9.20,16.67
11,18.28,46.88
22,28.74,36.84
17.5,16.17,36.67
19,27.67,34.62
10,8.95,7.41
16,25.50,40.32
14,16.15,12.20
12,10.41,12.50
24,29.57,54.53
15,29.98,48.08
20,28.65,42.86
14,6.07,5.26
15,18.26,44.12
22,30.10,32.69
15,22.49,32.61
14,14.91,27.27
13,21.16,26.19
13,25.15,26.00
24,20.14,43.24
15,16.20,13.16
13,14.56,12.82
13,6.06,12.50
10,14.21,25.00
14,18.52,23.81
20,30.49,40.74
13,15.94,25.71
16,20.75,37.50
12,10.93,18.52
16,22.36,15.00
14,14.73,12.12
12,16.25,18.42
16,25.78,14.29
14,28.15,42.31
12,8.05,21.05
16,25.36,33.33
13,14.73,12.12
13,18.17,36.11
18,28.38,36.54
13,23.60,36.17
20,28.47,27.27
24,15.15,44.44
19,32.14,38.46
13,10.24,10.34
10,10.81,25.58
15,7.36,9.52
9,12.61,29.63
16,17.12,17.07
20,29.94,35.09
16,17.12,17.07
16,15.27,15.00
15,15.53,17.95
14,8.50,15.79
15,13.52,5.56
11,11.72,50.00
16,22.77,36.36
9,9.62,21.74
15,22.74,39.53
24,30.28,37.50
15,9.47,21.74
13,18.28,46.88
11,9.34,23.81
13,15.26,23.81
9,10.24,10.34
10,12.23,15.63
13,11.26,9.38
8,15.68,22.58
11,17.09,22.50
7,15.05,13.89
9,11.09,13.33
11,25.81,25.42
15,13.56,10.53
10,10.24,10.34
10,21.40,15.94
18,30.16,40.35
12,16.95,23.08
22,29.86,62.50
19,25.47,44.19
15,27.17,42.86
15,28.15,42.31
17,20.45,4.35
18,25.58,42.55
12,20.73,42.11
27,36.54,58.84
22,28.35,39.22
13,14.43,9.76
15,27.91,42.00
13,23.32,37.78
17,22.51,37.50
16,25.05,32.69
11,7.65,9.09
14,15.74,34.38
16,23.21,33.33
24,29.68,58.13
14,15.45,7.69
11,16.00,37.50
13,16.08,25.00
22,30.45,58.82
15,17.15,48.28
17,30.02,41.07
14,25.52,40.74
12,21.78,35.71
15,24.52,21.88
12,7.66,4.76
11,18.17,36.11
20,25.41,35.48
22,34.04,50.00
20,26.45,45.45
14,6.74,26.67
22,28.14,61.64
8,14.30,42.31
20,28.74,36.84
14,19.03,29.41
19,18.13,51.88
9,13.88,43.48
16,28.74,36.84
12,27.41,35.42
8,15.06,31.03
20,28.10,31.71
11,13.62,29.63
21,29.70,54.35
12,5.91,12.50
8,16.60,30.56
13,7.98,20.00
10,14.81,19.44
17,26.75,15.15
18,25.45,10.00
17,21.42,50.00
19,21.69,46.15
13,14.67,17.14
13,16.13,15.38
21,32.59,30.65
15,17.07,26.32
17,20.54,20.83
12,11.72,50.00
20,26.20,42.86
15,20.39,30.77
13,14.96,16.13
14,16.45,16.00
17,10.69,6.06
13,14.31,34.48
14,22.51,3.23
23,29.94,35.09
16,30.49,40.74
7,14.31,34.48
16,20.12,18.42
14,18.63,30.77
22,18.26,44.12
18,10.14,42.11
14,9.08,17.39
13,27.28,44.90
12,8.61,26.32
15,19.50,40.00
8,16.89,36.36
16,25.47,31.82
13,6.05,11.76
16,10.24,10.34
12,8.23,10.00
23,30.15,38.78
23,32.36,29.17
14,15.55,14.63
22.5,21.67,51.35
17,27.19,48.84
11,10.00,44.44
15,18.36,6.06
23,30.10,54.05
9,13.62,29.63
13,15.95,21.05
12,23.33,45.00
19,23.56,40.63
9,16.62,32.35
14,20.91,32.56
13,23.85,24.49
13,22.30,25.00
14,16.30,12.31
12,13.72,7.32
13,15.47,30.30
12,23.50,30.00
11,8.91,21.05
11,13.08,20.69
11,16.56,18.92
15,24.30,25.00
14,6.49,11.11
21,25.54,39.39
20,29.48,27.27
12,25.54,51.16
15,19.20,12.12
25,22.53,54.05
16,26.88,52.50
24,34.41,50.00
15,22.50,41.38
12,12.25,11.76
11,24.69,43.48
14,15.62,37.93
19,23.16,36.96
19,26.78,33.33
18,29.54,49.02
11,22.94,30.43
14,18.82,23.08
12,5.48,14.29
14,11.52,14.29
8,18.59,40.00
14,26.56,25.45
14,13.43,7.50
10,9.84,3.57
12,22.15,40.48
8,16.00,37.50
16,20.12,23.53
8,9.47,21.74
14,9.20,16.67
14,16.13,15.38
12,10.24,10.34
20,26.90,35.19
13,14.91,27.27
13,17.11,19.05
11,27.34,34.55
14,21.05,29.41
17,20.93,37.84
13,16.13,15.38
12,22.41,50.00
16,24.56,32.43
10,18.68,26.32
14,13.72,7.32
23,30.15,45.71
15,7.79,10.53
8,8.92,20.37
18,22.52,17.50
11,7.36,9.52
12,26.88,52.50
18,31.41,47.27
12,12.34,25.00
11,13.27,10.81
13,24.51,27.27
10,15.25,20.00
8,18.33,9.62
18,26.91,44.44
17,24.88,41.30
21.5,21.69,46.15
24,33.10,40.68
14,7.93,15.00
8,13.27,10.81
16,15.45,9.09
12,7.1,19.2
13,8.0,37.2
13,8.5,19.2
11.5,8.9,25.0
10,9.1,20.0
11,9.3,33.3
11.5,10.5,10.2
9,10.6,17.0
9,10.6,39.4
11,11.5,13.0
11,12.2,39.7
9,12.4,31.5
11,13.6,33.7
11,13.9,34.9
10,13.9,26.2
11,14.7,22.6
12,14.8,27.7
13,14.8,28.1
8,14.8,21.7
8,14.8,21.7
8,15.5,33.3
6,15.5,28.6
8,15.8,18.6
11,15.8,31.3
14,16.1,44.4
13,16.4,38.0
8,16.7,28.6
7,17.1,31.4
10,17.1,28.8
9,17.1,26.0
16,17.2,21.7
13,17.2,22.0
13,17.3,31.9
18,17.4,42.9
12,17.6,7.9
11,18.0,14.4
14,18.1,17.2
9,18.3,17.0
8,18.4,24.7
12,18.4,16.4
17,18.5,46.8
9,18.6,32.9
10,18.7,14.6
11,18.7,31.4
13,19.0,42.3
15,19.0,28.0
12,19.1,34.6
12,19.3,20.2
10,19.3,27.4
11,19.5,20.7
8,19.6,24.4
10,19.6,32.4
11,19.7,32.9
8,19.8,20.2
11,19.8,29.6
13,19.8,33.3
15,19.8,42.4
19,19.8,43.5
11,20.1,22.9
14,20.2,25.3
13,20.3,26.7
11,20.4,31.7
15,20.4,45.2
9,20.4,27.3
17,20.6,33.7
10,20.6,28.1
18,20.6,35.5
10,20.6,41.7
10,20.7,37.0
11,20.9,39.2
8,21.1,38.7
12,21.1,32.2
15,21.2,26.3
13,21.4,14.4
17,21.4,44.6
13,21.4,20.2
17,21.4,20.2
21,21.5,43.5
15,21.5,31.7
15,21.5,30.0
16,21.6,31.1
23,21.6,44.7
14,21.7,28.4
14,21.7,28.4
8,21.8,27.0
14,21.8,25.0
20,21.8,46.3
16,21.8,22.9
12,22.0,33.3
13,22.0,30.8
14,22.1,32.3
9,22.2,34.8
