SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
11,12.03,144.72,8,64
16,13.1,171.61,2.86,8.16
10,9.21,84.82,8.7,75.61
13,9.21,84.82,8.7,75.61
15,14.91,222.31,6.06,36.73
9,14.4,207.36,11.11,123.46
25,10.75,115.56,13.64,185.95
14,8.32,69.22,11.11,123.46
11,11.47,131.56,0,0
15,12.64,159.77,8.33,69.44
26,12.64,159.77,8.33,69.44
9,15.7,246.49,7.32,53.54
10,13.52,182.79,5.88,34.6
10,6.49,42.12,5.56,30.86
14,11.76,138.3,7.69,59.17
19,9.94,98.8,12,144
10,4.33,18.75,0,0
12,4.33,18.75,0,0
14,4.33,18.75,0,0
11,4.75,22.56,8.33,69.44
11,9.47,89.68,0,0
18,7.65,58.52,4.55,20.66
20,7.65,58.52,4.55,20.66
11,10.77,115.99,12.5,156.25
18,12.25,150.06,2.94,8.65
20,10.61,112.57,19.05,362.81
13,15.63,244.3,5.26,27.7
17,14.18,201.07,7.41,54.87
15,4.91,24.11,0,0
10,12,144,2.7,7.3
8,9.34,87.24,1.29,1.65
9,14.81,219.34,8.33,69.44
17,10.83,117.29,10,100
12,10.83,117.29,0,0
12,10.83,117.29,0,0
9,9.79,95.84,8,64
18,7.79,60.68,15.38,236.69
14,14.38,206.78,2.94,8.65
11,10.06,101.2,8.33,69.44
9,11.07,122.54,8.33,69.44
19,15.92,253.45,15.15,229.57
13,10.48,109.83,13.04,170.13
13,10.48,109.83,13.04,170.13
12,10.93,119.46,7.41,54.87
14,10.93,119.46,7.41,54.87
13,16.12,259.85,10,100
19,17.27,298.25,8.11,65.74
15,8.19,67.08,5,25
16,8.19,67.08,5,25
18,15.51,240.56,5.41,29.22
12,10.83,117.29,3.85,14.79
9,20.17,406.83,2.13,4.53
18,7.48,55.95,0,0
10,10.8,116.64,8,64
17,17.1,292.41,12.82,164.37
13,12.52,156.75,3.03,9.18
8,6.78,45.97,5.26,27.7
11,9.62,92.54,4.35,18.9
16,9.62,92.54,4.35,18.9
19,9.62,92.54,4.35,18.9
20,7.9,62.41,5.26,27.7
18,14.45,208.8,3.33,11.11
9,8.64,74.65,0,0
12,8.83,77.97,3.57,12.76
16,15.94,254.08,2.56,6.57
27,5.94,35.28,25,625
16,14.21,201.92,9.38,87.89
10,14.7,216.09,8.33,69.44
16,13.1,171.61,11.11,123.46
13,18.82,354.19,7.69,59.17
19,9.36,87.61,13.04,170.13
11,10.64,113.21,7.69,59.17
17,6.78,45.97,5.26,27.7
25,29.39,863.77,22.33,498.78
8,9.39,88.17,8.33,69.44
14,11.68,136.42,0,0
24,28.37,804.86,24.76,613.15
12,14.73,216.97,6.06,36.73
21,14.73,216.97,6.06,36.73
9,8.1,65.61,0,0
11,12.94,167.44,6.25,39.06
14,12.94,167.44,6.25,39.06
9,16.25,264.06,5.26,27.7
13,10.36,107.33,4.17,17.36
20,8.05,64.8,10.53,110.8
37,17.56,308.35,26.19,685.94
40,37.56,1410.75,26.19,685.94
3,18.57,344.84,5.13,26.3
8,18.19,330.88,2.38,5.67
9,16.84,283.59,2.17,4.73
16,22.03,485.32,18.18,330.58
9,16.39,268.63,8.47,71.82
24,10.84,117.51,10.53,110.8
7,13.95,194.6,6.15,37.87
19,19.62,384.94,17.31,299.56
10,17.73,314.35,9.96,99.12
16,19.86,394.42,14.29,204.08
26,20.67,427.25,22.56,509.14
16,24.51,600.74,4.55,20.66
6,17.9,320.41,0,0
13,26.05,678.6,14.63,214.16
10,19.6,384.16,11.43,130.61
23,31.71,1005.52,12.5,156.25
9,22.42,502.66,7.32,53.54
12,22.42,502.66,7.32,53.54
21,18.67,348.57,14.29,204.08
23,25.05,627.5,5.77,33.28
22,18.81,353.82,17.5,306.25
8,22.16,491.07,2.22,4.94
9,20.89,436.39,9.76,95.18
21,24.22,586.61,8.89,79.01
13,25.91,671.33,9.62,92.46
21,23.6,556.96,6.38,40.74
14,23.17,536.85,4.26,18.11
21,23.17,536.85,4.26,18.11
16,13.04,170.04,3.45,11.89
5,23.16,536.39,4.35,18.9
9,18.26,333.43,0,0
13,18.26,333.43,0,0
35,21.78,474.37,19.05,362.81
8,28.19,794.68,2.04,4.16
10,27.44,752.95,7.69,59.17
14,21.67,469.59,5.41,29.22
28,28.24,797.5,24,576
29,28.24,797.5,24,576
26,19.86,394.42,14.29,204.08
19,27.24,742.02,14,196
30,27.24,742.02,14,196
28,21.26,451.99,8.11,65.74
28,21.26,451.99,8.11,65.74
15,22.42,502.66,7.32,53.54
17,25.51,650.76,1.96,3.84
18,13.66,186.6,7.41,54.87
13,17.57,308.7,9.38,87.89
13,21.88,478.73,17.95,322.16
16,23.23,539.63,11.63,135.21
13,19.76,390.46,4.76,22.68
8,18.01,324.36,0,0
10,20.74,430.15,7.32,53.54
15,20.74,430.15,7.32,53.54
27,24.17,584.19,4.76,22.68
30,29.7,882.09,10.87,118.15
13,29.19,852.06,4,16
27,22.82,520.75,13.95,194.7
12,5.6,31.36,11.86,140.76
13,19.02,361.76,8.11,65.74
29,26.91,724.15,15.56,241.98
24,30.68,941.26,18.37,337.36
29,30.68,941.26,18.37,337.36
31,14.84,220.23,21.43,459.18
39,26.47,700.66,26.55,704.66
28,26.27,690.11,20.08,403.27
31,32.77,1073.87,14.52,210.72
30,26.23,688.01,12.96,168.04
14,11.96,143.04,7.14,51.02
21,26.27,690.11,4.08,16.66
19,17.19,295.5,10.34,107.02
25,31.26,977.19,10.42,108.51
27,13.61,185.23,10.71,114.8
20,24.31,590.98,9.23,85.21
15,19.18,367.87,5,25
12,21.19,449.02,4.44,19.75
23,25.65,657.92,12.5,156.25
19,20.77,431.39,8.82,77.85
29,20.77,431.39,8.82,77.85
12,24.13,582.26,5.88,34.6
13,22.73,516.65,6.82,46.49
21,32.59,1062.11,8.06,65.04
28,17.91,320.77,22.5,506.25
22,22.6,510.76,4.35,18.9
34,27.63,763.42,24.93,621.43
20,27.61,762.31,9.26,85.73
28,27.61,762.31,9.26,85.73
12,10.7,114.49,5.26,27.7
10,26.57,705.96,7.78,60.49
12,22.93,525.78,12.77,162.97
9,22.97,527.62,6.38,40.74
15,22.97,527.62,6.38,40.74
29,21.66,469.16,15.38,236.69
30,21.4,457.96,9.3,86.53
13,11.49,132.02,11.11,123.46
15,23.51,552.72,6.67,44.44
19,25.66,658.44,3.92,15.38
32,36.8,1354.24,17.24,297.27
25,23.85,568.82,4.08,16.66
25,19.18,367.87,16.67,277.78
19,27.11,734.95,3.57,12.76
23,31.55,995.4,3.85,14.79
32,14.03,196.84,14.81,219.48
37,34.03,1158.04,14.81,219.48
33,16.29,265.36,13.79,190.25
38,36.29,1316.96,13.79,190.25
33,27.06,732.24,24.06,579.1
10,27.28,744.2,10.2,104.12
37,37.43,1401,23.17,536.96
24,25.56,653.31,22.04,485.8
24,25.56,653.31,22.04,485.8
16,27.41,751.31,10.42,108.51
17,27.41,751.31,10.42,108.51
13,27.7,767.29,12.5,156.25
9,24.17,584.19,10.87,118.15
12,24.17,584.19,10.87,118.15
18,29.98,898.8,11.54,133.14
36,27.12,735.49,27.09,733.92
12,23.83,567.87,7.14,51.02
8,21.25,451.56,3.38,11.46
38,24.56,603.19,25.81,665.97
7,24.82,616.03,3.79,14.39
5,25.14,632.02,7.24,52.44
11,18.6,345.96,9.09,82.64
33,35.8,1281.64,16.67,277.78
11,20.73,429.73,2.38,5.67
11,12.89,166.15,0,0
19,17.07,291.38,7.89,62.33
8,13.3,176.89,10,100
18,15.61,243.67,15.38,236.69
17,15.47,239.32,6.06,36.73
16,17.36,301.37,12.9,166.49
15,18.31,335.26,5.41,29.22
8,18.69,349.32,9.38,87.89
29,10.34,106.92,18.18,330.58
9,12.76,162.82,0,0
9,16.35,267.32,11.43,130.61
15,18.48,341.51,7.69,59.17
9,30.47,928.42,5.91,34.92
13,16.01,256.32,9.09,82.64
14,15.47,239.32,6.06,36.73
29,37.35,1395.02,24.62,605.92
37,31.79,1010.6,18.33,336.11
17,26.39,696.43,14.29,204.08
36,26.39,696.43,14.29,204.08
23,32.19,1036.2,13.11,172
25,32.19,1036.2,13.11,172
28,15.93,253.76,8.33,69.44
12,12.95,167.7,12.9,166.49
9,17.39,302.41,12.5,156.25
14,17.39,302.41,12.5,156.25
30,21.77,473.93,17.95,322.16
12,17.86,318.98,17.65,311.42
20,10.46,109.41,17.07,291.49
16,19.41,376.75,15.91,253.1
20,18.94,358.72,14.71,216.26
38,27.29,744.74,16.98,288.36
39,34.94,1220.8,22.39,501.23
22,20.94,438.48,25,625
20,19.02,361.76,20,400
25,19.82,392.83,16.22,262.97
20,31.19,972.82,23.08,532.54
33,31.79,1010.6,21.43,459.18
35,31.79,1010.6,21.43,459.18
20,25.03,626.5,16.19,262.13
25,38.11,1452.37,22.54,507.84
31,38.11,1452.37,22.54,507.84
25,30.9,954.81,20,400
12,13.03,169.78,11.54,133.14
28,30.27,916.27,11.86,140.76
16,28.64,820.25,14.29,204.08
33,24.35,592.92,17.02,289.72
16,20.99,440.58,17.02,289.72
17,22.47,504.9,16.95,287.27
20,24.8,615.04,14.1,198.88
39,34.86,1215.22,13.33,177.78
32,22,484,11.63,135.21
19,18.08,326.89,15.79,249.31
32,18.08,326.89,15.79,249.31
21,25.87,669.26,12.68,160.68
21,33.3,1108.89,17.24,297.27
23,25.31,640.6,13.21,174.44
37,20.35,414.12,29.3,858.63
23,19.77,390.85,4,16
17,21.95,481.8,20.45,418.39
35,24.77,613.55,19.57,382.8
28,20.26,410.47,15.56,241.98
8,20.87,435.56,1.79,3.19
20,32.25,1040.06,13.64,185.95
21,17.91,320.77,13.89,192.9
21,24.91,620.51,13.46,181.21
23,24.91,620.51,13.46,181.21
19,16.21,262.76,14.71,216.26
8,20.43,417.38,11.63,135.21
20,18.52,342.99,6.98,48.67
9,21.99,483.56,9.62,92.46
39,31.2,973.44,22,484
16,21.42,458.82,14.29,204.08
6,18.15,329.42,8.51,72.43
22,27.99,783.44,24,576
37,29.38,863.18,22.64,512.64
15,28.06,787.36,5.08,25.85
