SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
11,22.15,490.6225,7.142857143,51.02040816
11,25.1,630.01,6.976744186,48.67495944
11,15.45,238.7025,6.451612903,41.62330905
11,26.69,712.3561,6.25,39.0625
11,31.47,990.3609,6,36
11,23.85,568.8225,4.081632653,16.65972511
11,17.48,305.5504,17.64705882,311.4186851
11,30.8,948.64,17.24137931,297.2651605
11,19.18,367.8724,16.66666667,277.7777778
11,10.83,117.2889,10,100
11,6.51,42.3801,5,25
11,20.67,427.2489,2.564102564,6.574621959
11,25.32,641.1024,8.510638298,72.43096424
11,18.81,353.8161,6.451612903,41.62330905
11,14.91,222.3081,6.060606061,36.73094582
11,9.87,97.4169,5,25
11,28.87,833.4769,13.46153846,181.2130178
11,26.74,715.0276,9.803921569,96.11687812
11,33.02,1090.3204,17.1875,295.4101563
11,29.11,847.3921,14.81481481,219.478738
11,20.73,429.7329,13.15789474,173.1301939
11,20.46,418.6116,12.82051282,164.365549
11,19.19,368.2561,10.25641026,105.1939513
11,16.76,280.8976,8.571428571,73.46938776
11,13.66,186.5956,7.407407407,54.8696845
11,32.24,1039.4176,6.349206349,40.31242126
11,31.47,990.3609,6,36
11,19.63,385.3369,5.555555556,30.86419753
11,18.31,335.2561,5.405405405,29.2184076
11,27.64,763.9696,25.53191489,651.8786781
11,21.4,457.96,20.51282051,420.7758054
11,30.8,948.64,16.32653061,266.5556018
11,16.56,274.2336,16.21621622,262.9656684
11,14.46,209.0916,16,256
11,13.56,183.8736,15.38461538,236.6863905
11,25.28,639.0784,14.28571429,204.0816327
11,12.66,160.2756,13.33333333,177.7777778
11,20.95,438.9025,12.82051282,164.365549
11,14.36,206.2096,12.5,156.25
11,14.36,206.2096,12.5,156.25
11,21.54,463.9716,12.5,156.25
11,9.96,99.2016,11.11111111,123.4567901
11,22.49,505.8001,10.86956522,118.147448
11,18.58,345.2164,9.756097561,95.18143962
11,19.66,386.5156,9.756097561,95.18143962
11,18.06,326.1636,9.375,87.890625
11,12.82,164.3524,9.090909091,82.6446281
11,4.75,22.5625,8.333333333,69.44444444
11,11.07,122.5449,8.333333333,69.44444444
11,14.7,216.09,8.333333333,69.44444444
11,15.55,241.8025,8.108108108,65.74141709
11,10.64,113.2096,7.692307692,59.17159763
11,32.54,1058.8516,7.042253521,49.59333466
11,14.31,204.7761,6.896551724,47.56242568
11,14.31,204.7761,6.896551724,47.56242568
11,22.97,527.6209,6.382978723,40.74241738
11,16.86,284.2596,6.25,39.0625
11,12.69,161.0361,5.714285714,32.65306122
11,18.8,353.44,5.405405405,29.2184076
11,6.78,45.9684,5.263157895,27.70083102
11,7.79,60.6841,5.263157895,27.70083102
11,25.94,672.8836,5.263157895,27.70083102
11,11.52,132.7104,3.571428571,12.75510204
11,12.23,149.5729,3.125,9.765625
11,14.8,219.04,2.702702703,7.304601899
11,17.04,290.3616,2.702702703,7.304601899
11,16.19,262.1161,10.71428571,114.7959184
11,13.61,185.2321,10.71428571,114.7959184
11,19.6,384.16,20,400
12,11.83,139.9489,12.90322581,166.4932362
12,29.59,875.5681,10.90909091,119.0082645
12,14.08,198.2464,10,100
12,17.75,315.0625,5.405405405,29.2184076
12,8.21,67.4041,4.545454545,20.66115702
12,31.95,1020.8025,18,324
12,16.02,256.6404,13.33333333,177.7777778
12,20.14,405.6196,8.108108108,65.74141709
12,13.44,180.6336,7.692307692,59.17159763
12,19.04,362.5216,7.692307692,59.17159763
12,24.51,600.7401,6.976744186,48.67495944
12,9.22,85.0084,5.555555556,30.86419753
12,17.21,296.1841,5.128205128,26.29848784
12,23.21,538.7041,2.222222222,4.938271605
12,27.34,747.4756,6.976744186,48.67495944
12,10.24,104.8576,3.448275862,11.89060642
12,25.56,653.3136,2.040816327,4.164931279
12,23.52,553.1904,16.66666667,277.7777778
12,13.56,183.8736,4,16
12,19.03,362.1409,2.5,6.25
12,23.56,555.0736,8.888888889,79.01234568
12,17.59,309.4081,15.625,244.140625
12,21.48,461.3904,26.31578947,692.5207756
12,21.27,452.4129,13.88888889,192.9012346
12,22.7,515.29,11.53846154,133.1360947
12,21.25,451.5625,3.921568627,15.3787005
12,14.3,204.49,15.38461538,236.6863905
12,21.95,481.8025,15,225
12,11.79,139.0041,14.81481481,219.478738
12,24.79,614.5441,13.63636364,185.9504132
12,27.67,765.6289,11.53846154,133.1360947
12,16.35,267.3225,11.42857143,130.6122449
12,19.19,368.2561,10.25641026,105.1939513
12,13.93,194.0449,7.692307692,59.17159763
12,22.42,502.6564,7.317073171,53.53955979
12,22.42,502.6564,7.317073171,53.53955979
12,17.57,308.7049,9.375,87.890625
12,24.85,617.5225,8.888888889,79.01234568
12,19.12,365.5744,5.882352941,34.60207612
12,18.18,330.5124,2.564102564,6.574621959
12,10,100,11.11111111,123.4567901
12,25.39,644.6521,17.30769231,299.556213
12,20.92,437.6464,14.28571429,204.0816327
12,17.35,301.0225,13.88888889,192.9012346
12,22.28,496.3984,13.33333333,177.7777778
12,19.84,393.6256,13.04347826,170.1323251
12,35.06,1229.2036,12.30769231,151.4792899
12,25.54,652.2916,11.62790698,135.2082207
