SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
5,5.91,34.93,6.25,39.06
14,5.91,34.93,6.25,39.06
18,5.91,34.93,6.25,39.06
10,10.69,114.28,0,0
6,16.95,287.3,10.26,105.19
12,10.93,119.46,7.41,54.87
15,10.93,119.46,7.41,54.87
11,16.56,274.23,16.22,262.97
18,16.12,259.85,10,100
22,16.12,259.85,10,100
28,28.19,794.68,25,625
13,16.13,260.18,7.69,59.17
13,16.13,260.18,7.69,59.17
14,16.13,260.18,7.69,59.17
14,16.13,260.18,7.69,59.17
7,15.53,241.18,5.13,26.3
6,7.52,56.55,0,0
9,16.44,270.27,0,0
9,13.62,185.5,7.41,54.87
11,13.62,185.5,7.41,54.87
21,8.5,72.25,10.53,110.8
6,18.33,335.99,5.77,33.28
10,12.23,149.57,3.13,9.77
8,13.43,180.36,2.5,6.25
14,10.8,116.64,8,64
19,16.4,268.96,7.89,62.33
33,26.4,696.96,20.89,436.59
10,8.95,80.1,0,0
17,12.52,156.75,3.03,9.18
10,10.24,104.86,3.45,11.89
15,6.07,36.84,0,0
9,9.62,92.54,4.35,18.9
10,9.62,92.54,4.35,18.9
20,15.07,227.1,6.25,39.06
21,15.07,227.1,6.25,39.06
13,14.56,211.99,7.69,59.17
16,11.8,139.24,6.67,44.44
12,13.56,183.87,5.26,27.7
10,13.84,191.55,7.14,51.02
23,16.65,277.22,5.13,26.3
7,11.52,132.71,3.57,12.76
10,15.45,238.7,6.82,46.49
16,8.33,69.39,5.88,34.6
11,6.78,45.97,5.26,27.7
20,6.78,45.97,5.26,27.7
11,13.1,171.61,11.11,123.46
13,15.94,254.08,14.29,204.08
13,14.67,215.21,2.86,8.16
14,18.82,354.19,7.69,59.17
10,7.79,60.68,5.26,27.7
19,13.95,194.6,15.63,244.14
16,9.08,82.45,9.52,90.7
18,8.23,67.73,10,100
7,8.23,67.73,10,100
11,15.82,250.27,8.33,69.44
18,15.82,250.27,8.33,69.44
11,17.09,292.07,7.5,56.25
13,14.73,216.97,6.06,36.73
13,8.37,70.06,4.76,22.68
14,14.73,216.97,6.06,36.73
15,14.73,216.97,6.06,36.73
15,14.73,216.97,6.06,36.73
15,14.73,216.97,6.06,36.73
14,8.1,65.61,0,0
14,15.55,241.8,4.88,23.8
12,16.25,264.06,5.26,27.7
16,7.93,62.88,15,225
22,7.93,62.88,15,225
13,14.43,208.22,4.88,23.8
12,8.05,64.8,10.53,110.8
12,8.05,64.8,10.53,110.8
14,16.52,272.91,13.51,182.62
9,13.72,188.24,2.44,5.95
11,13.72,188.24,2.44,5.95
12,13.72,188.24,2.44,5.95
22,8.21,67.4,4.55,20.66
6,24.51,600.74,4.55,20.66
7,24.51,600.74,4.55,20.66
13,24.51,600.74,4.55,20.66
20,20.39,415.75,12.82,164.37
8,15.06,226.8,0,0
8,18.59,345.59,11.43,130.61
25,28.87,833.48,13.46,181.21
12,20.73,429.73,13.16,173.13
20,25.58,654.34,10.64,113.17
31,20.73,429.73,13.16,173.13
9,21.69,470.46,5.13,26.3
10,21.69,470.46,5.13,26.3
13,21.69,470.46,5.13,26.3
14,21.69,470.46,5.13,26.3
11,20.91,437.23,9.3,86.53
20,26.9,723.61,7.41,54.87
22,25.05,627.5,5.77,33.28
7,22.16,491.07,2.22,4.94
8,30.16,909.63,8.77,76.95
15,30.16,909.63,8.77,76.95
21,20.61,424.77,15.38,236.69
13,23.6,556.96,6.38,40.74
14,28.15,792.42,9.62,92.46
15,28.15,792.42,9.62,92.46
18,18.06,326.16,9.38,87.89
17,22.53,507.6,10.81,116.87
7,22.53,507.6,10.81,116.87
10,22.53,507.6,10.81,116.87
15,17.15,294.12,20.69,428.06
8,20.14,405.62,8.11,65.74
13,21.16,447.75,4.76,22.68
18,19.15,366.72,11.43,130.61
18,19.15,366.72,11.43,130.61
17,19.15,366.72,11.43,130.61
36,34.04,1158.72,20.37,414.95
19,23.16,536.39,4.35,18.9
8,16,256,0,0
10,18.26,333.43,0,0
10,18.26,333.43,0,0
14,21.22,450.29,8.7,75.61
10,25.15,632.52,2,4
13,25.15,632.52,2,4
17,31.85,1014.42,14.75,217.68
18,16.89,285.27,12.12,146.92
13,19.91,396.41,18.42,339.34
18,21.78,474.37,19.05,362.81
16,20.75,430.56,12.5,156.25
14,22.46,504.45,17.07,291.49
11,25.81,666.16,3.39,11.49
13,25.81,666.16,3.39,11.49
27,21.48,461.39,10.64,113.17
10,22.49,505.8,10.87,118.15
11,22.49,505.8,10.87,118.15
25,23.33,544.29,26.5,702.25
10,21.67,469.59,5.41,29.22
10,26.88,722.53,5,25
16,26.88,722.53,5,25
22,25.93,672.36,13.04,170.13
19,17.16,294.47,12.5,156.25
25,19.86,394.42,14.29,204.08
33,19.86,394.42,14.29,204.08
20,22.51,506.7,15,225
15,29.54,872.61,9.8,96.12
25,28.38,805.42,13.46,181.21
11,22.94,526.24,2.17,4.73
10,25.1,630.01,6.98,48.67
11,27.34,747.48,9.09,82.64
21,29.7,882.09,10.87,118.15
4,22.8,519.84,1.89,3.56
8,22.8,519.84,1.89,3.56
10,23.21,538.7,2.22,4.94
10,29.74,884.47,1.85,3.43
14,25.47,648.72,11.63,135.21
19,25.47,648.72,11.63,135.21
24,31.6,998.56,11.86,140.76
18,26.91,724.15,15.56,241.98
8,26.07,679.64,7.14,51.02
12,25.54,652.29,11.63,135.21
24,34.41,1184.05,15.52,240.78
26,32.43,1051.7,20.37,414.95
20,29.94,896.4,7.02,49.25
23,29.94,896.4,7.02,49.25
24,15.62,243.98,24.14,582.64
6,19.04,362.52,7.69,59.17
15,17.19,295.5,10.34,107.02
20,21.42,458.82,16.67,277.78
24,17.19,295.5,10.34,107.02
12,22.15,490.62,7.14,51.02
21,27.91,778.97,22,484
28,27.91,778.97,22,484
32,33.64,1131.65,13.85,191.72
10,18.68,348.94,7.89,62.33
13,31.41,986.59,10.91,119.01
12,23.5,552.25,8,64
13,23.32,543.82,11.11,123.46
16,30.02,901.2,10.71,114.8
22,17.75,315.06,5.41,29.22
26,17.75,315.06,16.41,269.14
20,20.77,431.39,8.82,77.85
24,20.77,431.39,8.82,77.85
9,18.13,328.7,9.38,87.89
17,27.19,739.3,20.93,438.07
10,24.88,619.01,13.04,170.13
19,32.59,1062.11,8.06,65.04
17,20.93,438.06,13.51,182.62
18,18.16,329.79,11.76,138.41
23,20.93,438.06,13.51,182.62
29,22.6,510.76,24.35,592.82
36,22.6,510.76,24.35,592.82
37,30.7,942.49,25.26,638.23
26,25.6,655.36,10.2,104.12
22,28.35,803.72,9.8,96.12
12,19.58,383.38,8.11,65.74
14,22.1,488.41,10,100
15,27.17,738.21,13.33,177.6
22,22.77,518.47,15.91,253.1
30,21.4,457.96,24.3,590.6
14,30.49,929.64,11.11,123.46
16,30.49,929.64,11.11,123.46
33,28.64,820.25,15.79,249.31
17,23.51,552.72,6.67,44.44
18,23.51,552.72,6.67,44.44
13,23.85,568.82,4.08,16.66
14,26.56,705.43,1.82,3.31
10,19.18,367.87,16.67,277.78
13,16.08,258.57,11.11,123.46
26,14.03,196.84,14.81,219.48
13,27.28,744.2,10.2,104.12
19,27.28,744.2,10.2,104.12
16,21.02,441.84,12.82,164.37
17,15.9,252.81,16.13,260.15
20,15.9,252.81,16.13,260.15
25,20.46,418.61,12.82,164.37
26,20.46,418.61,12.82,164.37
26,20.46,418.61,12.82,164.37
37,36.46,1329.33,23.82,567.42
30,27.59,761.21,22.62,511.46
37,30.75,945.56,21.07,443.9
37,37.43,1401,25.17,633.65
16,20.73,429.73,2.38,5.67
18,20.73,429.73,2.38,5.67
19,27.67,765.63,11.54,133.14
37,27.67,765.63,24.54,602.14
12,27.41,751.31,10.42,108.51
16,22.74,517.11,11.63,135.21
15,29.98,898.8,11.54,133.14
25,33.89,1148.53,18.23,332.18
28,33.89,1148.53,23.23,539.44
32,33.89,1148.53,26.23,687.79
14,19.03,362.14,8.82,77.85
22,19.03,362.14,8.82,77.85
22,18.72,350.44,15.15,229.57
16,28.74,825.99,5.26,27.7
20,28.74,825.99,5.26,27.7
22,28.74,825.99,5.26,27.7
9,16.62,276.22,11.76,138.41
23,16.62,276.22,11.76,138.41
21,17.3,299.29,9.09,82.64
19,16.06,257.92,11.76,138.41
25,16.06,257.92,11.76,138.41
9,13.88,192.65,0,0
9,12.61,159.01,7.41,54.87
19,14.3,204.49,15.38,236.69
10,18.64,347.45,3.45,11.89
8,17.31,299.64,6.25,39.06
10,11.72,137.36,16.67,277.78
14,11.72,137.36,16.67,277.78
21,15.15,229.52,14.81,219.48
15,17.07,291.38,7.89,62.33
7,18.63,347.08,10.26,105.19
8,16.6,275.56,0,0
12,10.76,115.78,4,16
11,13.08,171.09,6.9,47.56
9,22.36,499.97,8.33,69.44
7,18.17,330.15,8.33,69.44
8,18.17,330.15,8.33,69.44
20,11.35,128.82,11.54,133.14
7,14.31,204.78,6.9,47.56
13,14.31,204.78,6.9,47.56
7,18.81,353.82,6.45,41.62
10,18.28,334.16,12.5,156.25
13,18.28,334.16,12.5,156.25
10,16.17,261.47,6.67,44.44
6,15.74,247.75,6.25,39.06
19,21.27,452.41,13.89,192.9
12,19.14,366.34,9.38,87.89
14,21.19,449.02,7.32,53.54
17,18.8,353.44,5.41,29.22
10,10.14,102.82,5.26,27.7
12,15.33,235.01,9.38,87.89
10,14.21,201.92,9.38,87.89
11,19.62,384.94,7.32,53.54
11,19.62,384.94,7.32,53.54
28,23.27,541.49,11.76,138.41
13,14.91,222.31,6.06,36.73
14,14.91,222.31,6.06,36.73
13,17.11,292.75,7.14,51.02
11,24.69,609.6,2.17,4.73
10,17.33,300.33,5.88,34.6
13,15.47,239.32,6.06,36.73
11,15.8,249.64,5.26,27.7
12,16.49,271.92,8.33,69.44
15,27.06,732.24,15.22,231.57
19,26.52,703.31,21.57,465.21
17,22.98,528.08,10,100
25,27.86,776.18,19.64,385.84
29,31.47,990.36,26.57,706.04
34,35.12,1233.41,22.39,501.23
14,31.21,974.06,13.11,172
15,19.54,381.81,19.05,362.81
13,20.23,409.25,11.36,129.13
10,28.63,819.68,10.53,110.8
25,26,676,20.93,438.07
20,18.08,326.89,15.79,249.31
16,29.65,879.12,9.23,85.21
16,29.65,879.12,9.23,85.21
36,36.04,1298.88,26.59,706.98
16,30.03,901.8,16.67,277.78
22,22.73,516.65,10.2,104.12
28,23.77,565.01,11.11,123.46
34,29.38,863.18,22.64,512.64
8,21.99,483.56,13.64,185.95
30,33.55,1125.6,14.29,204.08
20,21.42,458.82,16.67,277.78
24,17.19,295.5,10.34,107.02
12,22.15,490.62,7.14,51.02
21,27.91,778.97,22,484
28,27.91,778.97,22,484
32,33.64,1131.65,13.85,191.72
10,18.68,348.94,7.89,62.33
13,31.41,986.59,10.91,119.01
12,23.5,552.25,8,64
13,23.32,543.82,11.11,123.46
16,30.02,901.2,10.71,114.8
22,17.75,315.06,5.41,29.22
26,17.75,315.06,16.41,269.14
20,20.77,431.39,8.82,77.85
24,20.77,431.39,8.82,77.85
17,27.19,739.3,20.93,438.07
10,24.88,619.01,13.04,170.13
19,32.59,1062.11,8.06,65.04
17,20.93,438.06,13.51,182.62
18,18.16,329.79,11.76,138.41
23,20.93,438.06,13.51,182.62
29,22.6,510.76,24.35,592.82
36,22.6,510.76,24.35,592.82
37,30.7,942.49,25.26,638.23
26,25.6,655.36,10.2,104.12
22,28.35,803.72,9.8,96.12
12,19.58,383.38,8.11,65.74
14,22.1,488.41,10,100
15,27.17,738.21,13.33,177.6
22,22.77,518.47,15.91,253.1
30,21.4,457.96,24.3,590.6
14,30.49,929.64,11.11,123.46
16,30.49,929.64,11.11,123.46
33,28.64,820.25,15.79,249.31
17,23.51,552.72,6.67,44.44
18,23.51,552.72,6.67,44.44
13,23.85,568.82,4.08,16.66
14,26.56,705.43,1.82,3.31
10,19.18,367.87,16.67,277.78
13,16.08,258.57,11.11,123.46
26,14.03,196.84,14.81,219.48
13,27.28,744.2,10.2,104.12
19,27.28,744.2,10.2,104.12
16,21.02,441.84,12.82,164.37
17,15.9,252.81,16.13,260.15
20,15.9,252.81,16.13,260.15
25,20.46,418.61,12.82,164.37
26,20.46,418.61,12.82,164.37
26,20.46,418.61,12.82,164.37
37,36.46,1329.33,23.82,567.42
30,27.59,761.21,22.62,511.46
37,30.75,945.56,21.07,443.9
37,37.43,1401,25.17,633.65
16,20.73,429.73,2.38,5.67
18,20.73,429.73,2.38,5.67
19,27.67,765.63,11.54,133.14
37,27.67,765.63,24.54,602.14
12,27.41,751.31,10.42,108.51
16,22.74,517.11,11.63,135.21
15,29.98,898.8,11.54,133.14
25,33.89,1148.53,18.23,332.18
28,33.89,1148.53,23.23,539.44
32,33.89,1148.53,26.23,687.79
14,19.03,362.14,8.82,77.85
22,19.03,362.14,8.82,77.85
22,18.72,350.44,15.15,229.57
16,28.74,825.99,5.26,27.7
20,28.74,825.99,5.26,27.7
22,28.74,825.99,5.26,27.7
23,16.62,276.22,11.76,138.41
21,17.3,299.29,9.09,82.64
19,16.06,257.92,11.76,138.41
25,16.06,257.92,11.76,138.41
