SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
15,13.1,171.61,2.86,8.16
9,10.24,104.86,3.45,11.89
10,10.24,104.86,3.45,11.89
35,26.34,693.8,23,529
8,13.27,176.09,5.41,29.22
11,10,100,11.11,123.46
11,13.27,176.09,5.41,29.22
16,10.75,115.56,13.64,185.95
24,10.75,115.56,13.64,185.95
30,30.75,945.56,13.64,185.95
36,31.81,1011.88,19.38,375.39
12,12.34,152.28,7.14,51.02
13,15.95,254.4,7.89,62.33
13,9.04,81.72,4.76,22.68
8,5.93,35.16,5.56,30.86
15,13.52,182.79,5.88,34.6
6,12.5,156.25,3.23,10.41
12,6.49,42.12,5.56,30.86
18,6.49,42.12,5.56,30.86
9,11.09,122.99,3.33,11.11
12,11.76,138.3,7.69,59.17
12,8.61,74.13,10.53,110.8
9,4.33,18.75,0,0
3,9.2,84.64,0,0
12,9.2,84.64,0,0
10,9.84,96.83,3.57,12.76
9,7.36,54.17,4.76,22.68
27,29.36,862.01,18.76,352.01
8,9.47,89.68,0,0
8,9.47,89.68,0,0
20,9.55,91.2,20,400
14,7.65,58.52,4.55,20.66
23,7.65,58.52,4.55,20.66
12,10.24,104.86,3.45,11.89
13,10.24,104.86,3.45,11.89
12,12.25,150.06,2.94,8.65
7,15.05,226.5,5.56,30.86
11,7.36,54.17,4.76,22.68
10,6.06,36.72,12.5,156.25
15,10.61,112.57,19.05,362.81
21,10.61,112.57,19.05,362.81
15,15.63,244.3,5.26,27.7
20,14.18,201.07,7.41,54.87
9,11.26,126.79,6.25,39.06
14,11.13,123.88,2.94,8.65
14,6.74,45.43,6.67,44.44
15,6.74,45.43,6.67,44.44
11,9.34,87.24,14.29,204.08
14,9.34,87.24,14.29,204.08
21,15.68,245.86,16.13,260.15
10,14.81,219.34,8.33,69.44
29,35.49,1259.54,21,441
17,12.23,149.57,12.5,156.25
8,17.12,293.09,4.88,23.8
8,17.12,293.09,4.88,23.8
12,6.05,36.6,0,0
13,5.48,30.03,14.29,204.08
9,14.96,223.8,3.23,10.41
15,4.02,16.16,0,0
6,8.91,79.39,5.26,27.7
10,16.15,260.82,7.32,53.54
10,4.17,17.39,10,100
12,7.66,58.68,0,0
