Service Delay,Conflicting Flow(P/m), Proportation of 3W&4W
20,25.5,56.5
18,22.115,38.5
20,27.97,51.2
17,19.37,57.8
13,19.295,51.2
6,12.59,20
6,12.2,20
13,20.45,52
13,15.31,52
8,7.45,31.81818182
6,7.31,19.17808219
23,28.3,64.1
17,26.135,59.6
13,23.31,49.4
13,22.075,48.2
10,22.39,18.30985915
10,20.45,43.10344828
23,26.2,44.4
21,25.635,56.3
21,29.2,52.9
17,18.3,51
15,27.565,53.3
10,22.655,20
8,21.32,20
7,7.36,38.70967742
6,15.105,13.63636364
19,30.6,43.1
6,14.715,17.64705882
6,7.2,17.64705882
6,8.5,26.08695652
6,8.2,26.08695652
19,26.62,52.4
8,19.85,22.72727273
15,17.23,56.8
15,15.765,50.7
11,13.815,15.68627451
12,13.855,43.05555556
19,24.335,46.6
17,20.315,55.9
12,24.025,28.57142857
23,25.2,64.3
19,19.625,52.2
8,10.58,34.52380952
8,12.075,29.62962963
12,24.405,25.97402597
12,20.375,25.97402597
19,27.005,60.1
15,19.64,52.4
11,22.205,29.16666667
8,8.25,42.42424242
6,8.65,20
6,7.5,20
9,15.62,30.55555556
6,7.31,33.33333333
23,28.2,61.1
20,26.69,58.4
6,8.5,17.24137931
6,7.89,23.07692308
22,26.825,55.3
14,24.445,54.5
13.2,22.11,35.29411765
12,23.31,20.2247191
8,10.535,48.05194805
9,14.21,40.65934066
8,8.23,38.0952381
8,16.045,35.29411765
7,7.36,38.0952381
6,6.61,15.38461538
6,6.5,38.0952381
13,24.595,46
10,15.554,32.91139241
23,31.565,64.8
20,24.405,38.4
14,22.17,43.24324324
14,26,35.8
16,21.2,53.3
10,14.715,32.91139241
10,14.715,42.85714286
17,23.595,55.3
14,19.605,44.7
9,10.925,34.93975904
5,6.7,36.11111111
21,26.815,50
17,26.41,50
13,15.55,46.1
10,21.575,30
6,10.52,26.31578947
18,26.98,53.6
14,25.215,44.6
22,29.535,40.1
22,34.93,38.1
17,21.96,50.2
15,26.1,43.1
17,27.54,44.9
13.5,20.45,35.48387097
13,17.135,41.6
6,9.2,23.68421053
17,19.235,51.1
15,16.185,51.2
8,10.23,10.16949153
6,8.1,16.98113208
19,26,53.3
18,26.69,46.7
10,23.105,30.64516129
19,20.45,59.2
17,19.885,57.3
12,12.51,25
20,25.9,44.4
13,16.3,41.5
9,23.985,34.92063492
9,20.945,34.92063492
8,15,24.24242424
21,21.5,52.1
14,18.48,47.8
9,15.465,45.76271186
13.5,22.97,21.42857143
12,18.715,25
12,13.59,25
7,7.2,40.47619048
6,6.9,27.7
20,27.365,63.3
19,29.085,56.2
14.4,19,33.33333333
14,24.11,42
13,23.225,41.1
12,25.175,33.33333333
12,23.655,33.33333333
13,24.93,14.28571429
25,30.2,56.5
20,25.635,59.5
20,27.005,56
18,25.635,63.4
14,16.08,45
14,22.24,45
12,22.83,26.92307692
9,16.115,38.35616438
19,20.45,55
11,22.38,30.76923077
7,10.955,25.64102564
5,6.5,26.3
19,25.485,52.7
13.1,24.05,35.82089552
24,31.5,55.2
15,23.895,22.52252252
14.5,18.79,22.52252252
13,23.895,18.69158879
8,22.075,32.43243243
21,28.8,45.4
16,25.23,53
13.6,24.96,34.93975904
13,22.3,49.5
13,14.22,48
9,19.975,10
7,7.2,44.82758621
23,25.25,54.6
20,27.655,51
19,24.28,56.4
19,21.475,50.7
17,28.795,51
17,25.925,51
16,22.17,51
15,16.25,49.6
12,23.29,21.12676056
13,16.675,49.8
11,27.61,47.9
11,15.31,16.39344262
10,15.62,16.39344262
9,22.135,28.75
9,21.39,24.39565217
7,16.03,16.89565217
7,15.015,15.99565217
6,8.1,26.1
6,8.2,25.2
6,8.1,24.3
5,5.25,25.6
5,7.1,25.1
5,8.6,26.3
5,6.8,22.1
19,21.475,50.1
19,20.375,50.1
14,22.265,42.6
10,21.135,30.1
10,21.06,47.61904762
9,11.62,44.44444444
9,21.745,47.61904762
7,8.1,19.17808219
7,21.015,47.61904762
7,13.67,47.61904762
7,15.92,47.61904762
7,13.33,47.61904762
6,7.61,19.17808219
5,7.34,19.17808219
5,7.31,19.17808219
5,6.58,19.17808219
21,24.405,51.4
12,24.445,17.64705882
12,19.85,17.64705882
9,20.755,22.72727273
6,7.31,19.54347826
10,23.545,45.65217391
13,19.64,50.7
10,18.32,37.93103448
24,32.5,60.8
22,30,61.8
14,21.96,34.7826087
9,14.555,38.15789474
20,27.5,56.2
12,17.795,50.70422535
6,7.2,22.22222222
10,22.28,28.57142857
14,18.1,49.27536232
21,23.515,58.2
16,20.58,54
11,19.9,25
21,23.105,59.1
13,15.44,42.69662921
11,21.67,17.39130435
13.8,14.22,34.52380952
19,24.405,54.5
16.5,24,37.3
11,23.985,44.64285714
11,18.9,44.64285714
7,12,42.37288136
24,38.5,51.2
19,23.515,54.7
16,19.885,56.8
6,8.16,16.66666667
21,27.61,57.5
14,24.455,33.33333333
15,21.58,55
12,28.57,57.3
6,11.2,27.27272727
24,31.64,63.2
16,27.49,57.6
13,19.49,16.8
12,14.63,48.10126582
11,23.35,17.58241758
