SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
29,16.505,272.415025,24.61538462,605.9171598
19,24.47,598.7809,24.52830189,601.6375934
20,15.745,247.905025,23.91304348,571.8336484
16,23.05,531.3025,23.5971223,556.8241809
17,14.89,221.7121,23.125,534.765625
23,16.96,287.6416,22.22222222,493.8271605
17,21.815,475.894225,22.22222222,493.8271605
22,21.815,475.894225,22.22222222,493.8271605
14,10.23,104.6529,22.17391304,491.6824197
17,16.58,274.8964,22.12765957,489.6333182
16,15.09,227.7081,21.875,478.515625
19,19.115,365.383225,21.66666667,469.4444444
20,19.115,365.383225,21.66666667,469.4444444
16,13.61,185.2321,21.44927536,460.0714136
17,11.715,137.241225,20.63380282,425.7538187
12,21.7,470.89,20.58823529,423.8754325
15,16.65,277.2225,20.49450549,420.0247555
11,20.455,418.407025,19.44444444,378.0864198
14,16.495,272.085025,19.29824561,372.4222838
13,12.75,162.5625,18.91891892,357.9254931
17,18.67,348.5689,18.91891892,357.9254931
20,24.735,611.820225,18.91089109,357.6218018
10,17.88,319.6944,18.42105263,339.3351801
11,17.88,319.6944,18.42105263,339.3351801
10,15.45,238.7025,17.85714286,318.877551
21,23.91,571.6881,17.85714286,318.877551
19,15.285,233.631225,17.54385965,307.7870114
12,13.775,189.750625,17.54385965,307.7870114
10,9.895,97.911025,17.5,306.25
14,12.26,150.3076,17.40740741,303.0178326
17,28.69,823.1161,17.40740741,303.0178326
17,21.165,447.957225,17.04545455,290.5475207
18,21.165,447.957225,17.04545455,290.5475207
15,21.9,479.61,16.89655172,285.4934602
22,16.425,269.780625,16.89655172,285.4934602
15,18.675,348.755625,16.74157303,280.2802676
9,10.845,117.614025,16,256
11,10.845,117.614025,16,256
15,17.75,315.0625,16,256
18,17.75,315.0625,16,256
16,16.77,281.2329,15.55555556,241.9753086
17,17.52,306.9504,15.55555556,241.9753086
9,12.55,157.5025,15.38461538,236.6863905
12,14.655,214.769025,15.38461538,236.6863905
13,14.655,214.769025,15.38461538,236.6863905
11,19.85,394.0225,15.29411765,233.9100346
16,25.525,651.525625,15.17857143,230.3890306
12,9.475,89.775625,14.63414634,214.1582391
21,20.165,406.627225,14.21052632,201.9390582
21,25.495,649.995025,14.05405405,197.5164354
9,9.485,89.965225,13.95348837,194.6998378
17,24.82,616.0324,13.91304348,193.5727788
21,19.395,376.166025,13.79310345,190.2497027
10,12.85,165.1225,13.7254902,188.3890811
9,16.375,268.140625,13.69863014,187.6524676
13,16.375,268.140625,13.69863014,187.6524676
12,9.07,82.2649,13.63636364,185.9504132
13,22.515,506.925225,13.46153846,181.2130178
12,14.98,224.4004,13.23529412,175.1730104
13,9.08,82.4464,13.04347826,170.1323251
11,14.345,205.779025,12.96296296,168.0384088
9,13.72,188.2384,12.90322581,166.4932362
12,17.095,292.239025,12.90322581,166.4932362
16,17.095,292.239025,12.90322581,166.4932362
16,17.095,292.239025,12.90322581,166.4932362
10,16.975,288.150625,12.34567901,152.4157903
17,16.975,288.150625,12.34567901,152.4157903
19,18.775,352.500625,12.30769231,151.4792899
10,21.815,475.894225,12.22222222,149.382716
11,21.815,475.894225,12.22222222,149.382716
18,18.94,358.7236,12.19512195,148.7209994
11,15.965,254.881225,12.12121212,146.9237833
15,15.965,254.881225,12.12121212,146.9237833
12,12.855,165.251025,12.06896552,145.6599287
15,22.245,494.840025,11.81818182,139.6694215
10,12.5,156.25,11.76470588,138.4083045
17,16.655,277.389025,11.32075472,128.1594874
9,7.625,58.140625,10.81081081,116.8736304
12,17.625,310.640625,10.81081081,116.8736304
12,17.625,310.640625,10.81081081,116.8736304
15,19.99,399.6001,10.63829787,113.1733816
10,17.885,319.873225,10.52631579,110.8033241
10,17.885,319.873225,10.52631579,110.8033241
12,15.175,230.280625,10.52631579,110.8033241
13,21.845,477.204025,10.52631579,110.8033241
14,17.885,319.873225,10.52631579,110.8033241
18,21.845,477.204025,10.52631579,110.8033241
11,15.88,252.1744,10.44776119,109.155714
8,15.61,243.6721,9.836065574,96.74818597
7,9.11,82.9921,9.523809524,90.70294785
13,19.11,365.1921,9.523809524,90.70294785
10,13.58,184.4164,9.375,87.890625
13,17.135,293.608225,9.195402299,84.55542344
8,10.755,115.670025,8.604651163,74.04002163
8,13.31,177.1561,8.032786885,64.52566514
11,22.38,500.8644,7.936507937,62.98815823
14,22.38,500.8644,7.936507937,62.98815823
7,11.825,139.830625,7.843137255,61.514802
8,11.825,139.830625,7.843137255,61.514802
14,22.51,506.7001,7.627118644,58.17293881
7,15.285,233.631225,7.543859649,56.90981841
9,12.26,150.3076,7.407407407,54.8696845
10,11.285,127.351225,7.272727273,52.89256198
13,19.37,375.1969,7.058823529,49.82698962
9,16.425,269.780625,6.896551724,47.56242568
14,18.975,360.050625,6.603773585,43.60982556
10,13.915,193.627225,6.578947368,43.28254848
11,13.915,193.627225,6.578947368,43.28254848
8,15.165,229.977225,6.557377049,42.99919377
9,15.165,229.977225,6.557377049,42.99919377
7,14.95,223.5025,6,36
8,16.88,284.9344,5.797101449,33.60638521
13,20.01,400.4001,5.769230769,33.28402367
9,17.52,306.9504,5.555555556,30.86419753
11,17.52,306.9504,5.555555556,30.86419753
14,13.54,183.3316,5.555555556,30.86419753
10,16.65,277.2225,5.494505495,30.18959063
12,16.65,277.2225,5.494505495,30.18959063
12,16.65,277.2225,5.494505495,30.18959063
14,16.65,277.2225,5.494505495,30.18959063
11,17.03,290.0209,5.405405405,29.2184076
16,21.265,452.200225,5.128205128,26.29848784
9,8.21,67.4041,4.545454545,20.66115702
10,8.21,67.4041,4.545454545,20.66115702
12,8.21,67.4041,4.545454545,20.66115702
8,16.01,256.3201,4.225352113,17.85360048
9,20.45,418.2025,3.921568627,15.3787005
12,20.45,418.2025,3.921568627,15.3787005
11,20.635,425.803225,3.361344538,11.2986371
8,14.89,221.7121,3.125,9.765625
8,17.095,292.239025,2.903225806,8.428720083
11,19.14,366.3396,2.608695652,6.805293006
8,15.965,254.881225,2.121212121,4.499540863
9,10.57,111.7249,2,4
8,19.115,365.383225,1.666666667,2.777777778
7,10.655,113.529025,1.320754717,1.744393022
8,15.61,243.6721,9.836065574,96.74818597
7,9.11,82.9921,9.523809524,90.70294785
13,19.11,365.1921,9.523809524,90.70294785
10,13.58,184.4164,9.375,87.890625
13,17.135,293.608225,9.195402299,84.55542344
8,10.755,115.670025,8.604651163,74.04002163
8,13.31,177.1561,8.032786885,64.52566514
11,22.38,500.8644,7.936507937,62.98815823
14,22.38,500.8644,7.936507937,62.98815823
7,11.825,139.830625,7.843137255,61.514802
8,11.825,139.830625,7.843137255,61.514802
14,22.51,506.7001,7.627118644,58.17293881
7,15.285,233.631225,7.543859649,56.90981841
9,12.26,150.3076,7.407407407,54.8696845
10,11.285,127.351225,7.272727273,52.89256198
13,19.37,375.1969,7.058823529,49.82698962
9,16.425,269.780625,6.896551724,47.56242568
14,18.975,360.050625,6.603773585,43.60982556
10,13.915,193.627225,6.578947368,43.28254848
11,13.915,193.627225,6.578947368,43.28254848
8,15.165,229.977225,6.557377049,42.99919377
9,15.165,229.977225,6.557377049,42.99919377
7,14.95,223.5025,6,36
8,16.88,284.9344,5.797101449,33.60638521
13,20.01,400.4001,5.769230769,33.28402367
9,17.52,306.9504,5.555555556,30.86419753
11,17.52,306.9504,5.555555556,30.86419753
14,13.54,183.3316,5.555555556,30.86419753
10,16.65,277.2225,5.494505495,30.18959063
12,16.65,277.2225,5.494505495,30.18959063
12,16.65,277.2225,5.494505495,30.18959063
14,16.65,277.2225,5.494505495,30.18959063
11,17.03,290.0209,5.405405405,29.2184076
16,21.265,452.200225,5.128205128,26.29848784
9,8.21,67.4041,4.545454545,20.66115702
10,8.21,67.4041,4.545454545,20.66115702
12,8.21,67.4041,4.545454545,20.66115702
8,16.01,256.3201,4.225352113,17.85360048
9,20.45,418.2025,3.921568627,15.3787005
12,20.45,418.2025,3.921568627,15.3787005
11,20.635,425.803225,3.361344538,11.2986371
8,14.89,221.7121,3.125,9.765625
8,17.095,292.239025,2.903225806,8.428720083
11,19.14,366.3396,2.608695652,6.805293006
8,15.965,254.881225,2.121212121,4.499540863
9,10.57,111.7249,2,4
8,19.115,365.383225,1.666666667,2.777777778
7,10.655,113.529025,1.320754717,1.744393022
