SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
30,27.58,760.66,21.15,447.49
20,34.45,1186.80,7.56,57.20
29,39.02,1522.56,15.79,249.31
25,29.02,842.16,15.79,249.31
33,25.00,625.00,20.00,400.00
29,25.00,625.00,20.00,400.00
25,25.00,625.00,22.00,484.00
38,39.50,1559.86,25.00,625.00
30,24.50,600.01,25.00,625.00
30,41.08,1687.16,25.32,640.92
26,21.08,444.16,25.32,640.92
33,24.01,576.48,15.66,245.32
32,24.01,576.48,15.66,245.32
30,24.01,576.48,15.66,245.32
28,24.01,576.48,15.66,245.32
33,26.23,687.75,16.33,266.56
30,26.10,680.95,12.37,153.04
29,24.68,608.86,13.95,194.70
28,24.93,621.26,22.37,500.35
26,24.93,621.26,22.37,500.35
34,31.83,1013.15,17.04,290.26
34,35.65,1270.92,12.86,165.31
30,31.83,1013.15,19.04,362.41
17,38.32,1468.42,9.77,95.54
37,28.70,823.40,27.52,757.51
36,41.26,1702.39,21.90,479.82
27,22.86,522.35,23.48,551.23
25,24.85,617.52,16.28,265.01
25,22.86,522.35,28.48,811.01
25,27.77,770.90,23.40,547.76
32,31.09,966.59,15.50,240.25
28,31.82,1012.51,20.90,436.62
29,35.55,1263.80,27.55,758.75
34,39.88,1590.41,17.46,304.86
32,34.04,1158.72,19.04,362.65
38,33.40,1115.23,22.52,507.26
24,34.64,1199.58,26.82,719.39
28,25.96,673.66,20.83,433.69
26,22.07,487.08,15.66,245.32
32,26.88,722.53,11.82,139.67
26,25.16,632.77,27.28,744.22
32,24.96,622.75,25.64,657.34
35,37.13,1378.27,26.56,705.29
31,24.59,604.67,17.17,294.87
26,23.59,556.49,14.29,204.08
30,37.00,1369.00,25.49,649.89
28,28.00,784.00,15.49,240.03
28,17.00,289.00,15.49,240.03
27,28.00,784.00,15.49,240.03
25,28.00,784.00,15.49,240.03
35,30.83,950.18,19.74,389.54
32,20.83,433.68,19.74,389.54
26,20.84,434.31,17.44,304.22
26,20.84,434.31,17.44,304.22
31,39.17,1534.29,11.96,142.96
31,25.44,647.19,19.83,393.30
31,25.44,647.19,16.83,283.31
25,38.09,1450.85,27.56,759.72
20,36.83,1356.45,10.79,116.32
37,32.67,1067.00,25.94,672.77
29,24.99,624.50,13.82,191.02
29,24.99,624.50,13.82,191.02
27,22.34,498.85,14.41,207.78
33,39.86,1588.82,19.08,364.01
