SD,CF(PCU/min),CF*2(PCU/min),%_of_4W,%_of_4W*2
39,22.61,511.21,26.87,721.76
38,29.83,889.53,29.74,884.28
36,33.40,1115.23,23.52,553.31
35,32.85,1079.12,26.28,690.59
35,22.07,487.08,25.66,658.57
34,24.42,596.09,28.85,832.30
34,34.00,1156.00,24.36,593.36
34,24.60,605.16,20.22,408.71
33,33.16,1099.25,23.45,549.82
33,18.68,348.94,21.25,451.56
32,30.95,957.90,29.73,883.86
32,25.75,663.06,29.63,877.91
32,35.94,1291.68,24.53,601.64
32,24.93,621.26,22.37,500.35
32,37.40,1398.76,13.53,183.16
31,22.83,521.21,13.48,181.80
30,21.55,464.40,27.89,778.12
30,22.61,511.21,26.87,721.76
30,14.80,219.04,26.70,713.03
30,29.47,868.19,22.77,518.67
30,7.52,56.48,22.62,511.46
30,18.38,337.82,21.95,481.86
30,35.80,1281.64,18.72,350.60
30,32.85,1079.12,17.28,298.57
30,31.96,1021.44,13.68,187.26
29,23.62,557.90,25.30,640.15
29,23.29,542.19,25.26,637.83
29,24.14,582.50,23.92,572.24
29,22.12,489.07,21.25,451.56
29,33.68,1134.34,16.42,269.55
29,34.03,1158.04,13.19,174.09
29,29.39,863.77,12.62,159.30
29,25.19,634.54,7.87,61.86
29,25.96,673.66,5.83,33.93
28,16.33,266.51,15.87,251.95
27,15.75,248.06,23.63,558.36
27,15.94,254.08,24.53,601.64
27,24.50,600.01,25.00,625.00
27,24.58,604.18,6.38,40.74
26,14.98,224.25,19.23,369.82
26,29.20,852.64,13.27,176.21
26,14.68,215.36,6.56,43.00
26,31.85,1014.10,13.93,194.17
26,18.31,335.07,28.33,802.78
26,28.49,811.68,20.67,427.11
26,21.78,474.15,19.48,379.49
26,26.23,687.75,16.33,266.56
26,22.89,523.95,7.69,59.17
26,25.78,664.35,8.60,74.00
26,13.95,194.60,4.41,19.46
25,38.09,1450.85,7.56,57.20
25,19.62,384.75,18.79,353.04
25,13.77,189.61,13.79,190.25
25,17.78,315.95,13.70,187.65
25,19.77,390.85,13.33,177.78
24,20.19,407.43,16.41,269.30
24,10.71,114.60,10.00,100.00
24,12.66,160.28,6.25,39.06
24,28.17,793.55,12.38,153.29
24,15.53,241.18,25.13,631.43
24,21.34,455.40,6.80,46.19
24,16.00,255.84,4.05,16.44
24,29.64,878.23,20.83,434.03
24,34.04,1158.72,20.04,401.74
24,26.50,702.25,17.52,307.01
24,17.50,306.25,5.48,30.02
24,25.20,634.79,15.63,244.14
24,10.71,114.60,10.00,100.00
23,26.88,722.53,11.82,139.67
23,32.58,1061.13,15.93,253.74
23,22.61,511.21,26.87,721.76
23,24.93,621.26,22.37,500.35
23,22.84,521.67,18.52,342.94
23,19.61,384.55,17.81,317.13
23,33.87,1147.18,6.90,47.56
22,32.76,1072.89,16.81,282.47
22,33.91,1149.55,15.84,251.02
21,24.01,576.48,16.66,277.64
21,11.71,137.01,13.46,181.21
21,32.02,1025.28,10.00,100.00
21,12.46,155.13,23.08,532.54
21,27.14,736.31,16.38,268.28
20,22.84,521.67,18.52,342.94
20,19.47,379.08,24.00,576.00
20,23.59,556.49,16.29,265.22
20,20.51,420.66,15.46,239.13
20,16.00,255.84,9.05,81.98
20,20.51,420.66,15.46,239.13
20,20.19,407.43,6.41,41.09
19,20.40,416.16,13.92,193.88
19,15.96,254.56,11.29,127.47
19,21.55,464.40,7.89,62.33
19,14.92,222.61,12.50,156.25
19,24.24,587.58,18.37,337.36
19,18.14,328.88,18.06,326.00
18,24.81,615.29,23.53,553.63
18,10.92,119.25,16.67,277.78
18,10.92,119.25,16.67,277.78
18,16.62,276.22,10.14,102.92
18,17.19,295.50,5.75,33.03
18,26.46,700.13,23.08,532.54
18,18.14,329.06,21.36,456.17
18,28.58,816.53,15.93,253.74
18,19.17,367.49,11.96,142.96
18,17.27,298.08,17.72,314.05
18,15.51,240.56,18.18,330.58
18,16.87,284.43,15.28,233.41
18,21.36,456.25,10.26,105.19
18,7.94,62.96,10.00,100.00
17,19.64,385.53,7.59,57.68
17,16.69,278.56,18.57,344.90
17,22.53,507.38,3.26,10.63
17,21.34,455.40,6.80,46.19
17,24.59,604.67,17.17,294.87
17,18.82,354.00,11.43,130.61
17,17.50,306.25,5.48,30.02
17,21.88,478.52,4.60,21.14
17,12.43,154.50,12.28,150.82
16,13.03,169.78,11.54,133.14
16,24.01,576.48,15.66,245.32
16,16.35,267.32,18.18,330.58
16,17.25,297.39,7.23,52.26
16,12.94,167.31,3.08,9.47
16,16.09,258.89,5.13,26.30
15,19.79,391.45,6.90,47.56
15,25.20,634.79,15.63,244.14
15,21.89,478.95,19.18,368.01
15,13.88,192.65,17.46,304.86
15,18.50,342.25,17.33,300.44
15,19.61,384.55,15.81,249.90
15,26.10,680.95,15.37,236.27
15,19.63,385.34,12.50,156.25
15,15.35,235.47,12.31,151.48
15,23.16,536.15,11.22,125.99
15,15.57,242.42,8.57,73.47
15,12.79,163.58,3.13,9.77
15,26.63,709.16,20.41,416.49
15,13.56,183.87,14.06,197.75
15,16.77,281.23,8.24,67.82
15,27.25,742.29,7.45,55.45
14,10.12,102.41,12.50,156.25
14,24.14,582.50,3.92,15.38
14,17.77,315.60,2.53,6.41
14,11.20,125.33,0.00,0.00
14,15.19,230.74,6.06,36.73
14,19.48,379.47,2.13,4.53
14,18.02,324.72,9.09,82.64
14,25.19,634.54,7.87,61.86
14,26.50,702.25,12.45,154.98
14,21.89,478.95,19.18,368.01
14,28.71,823.98,13.21,174.44
14,19.02,361.57,16.25,264.06
14,21.54,463.76,10.31,106.28
14,16.61,275.73,8.96,80.20
14,24.42,596.09,8.85,78.31
14,9.44,89.02,5.41,29.22
14,12.33,151.91,3.64,13.22
14,21.36,456.25,10.26,105.19
14,24.14,582.50,3.92,15.38
14,13.13,172.27,5.48,30.02
13,12.38,153.26,6.25,39.06
13,17.84,318.09,11.76,138.41
13,8.10,65.53,15.63,244.14
13,18.78,352.50,10.61,112.49
13,21.44,459.46,14.81,219.48
13,21.55,464.40,14.10,198.88
13,17.64,311.17,13.51,182.62
13,14.06,197.68,13.33,177.78
13,15.86,251.54,9.86,97.20
13,16.79,281.74,5.19,26.99
13,22.25,495.06,5.13,26.30
13,21.24,451.14,5.00,25.00
13,8.18,66.83,18.18,330.58
13,20.51,420.66,6.52,42.53
13,14.35,205.92,6.06,36.73
13,10.12,102.41,12.50,156.25
13,15.10,228.01,5.71,32.65
12,14.09,198.39,8.96,80.20
