SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
10,20.2,408.4,69.0,19.0,11.9
13,20.2,408.4,69.0,19.0,11.9
15,20.2,408.4,69.0,19.0,11.9
15,18.9,357.2,65.8,23.7,10.5
10,20.5,419.0,66.7,26.2,7.1
11,20.5,419.0,66.7,26.2,7.1
20,22.6,512.6,72.0,24.0,4.0
9,23.7,559.8,73.6,20.8,5.7
13,25.3,638.1,75.9,17.2,6.9
8,16.2,262.4,64.5,19.4,12.9
16,22.1,487.5,64.3,16.7,16.7
19,22.1,487.5,64.3,16.7,16.7
12,28.3,803.2,64.3,25.0,10.7
13,21.1,445.2,69.8,18.6,7.0
14,18.5,341.9,68.4,23.7,5.3
10,23.1,532.2,68.8,20.8,10.4
13,23.1,532.2,68.8,20.8,10.4
19,24.8,612.6,62.5,31.3,4.2
21,24.8,612.6,62.5,31.3,4.2
8,22.0,483.1,75.5,10.2,14.3
12,22.3,496.0,66.7,11.9,19.0
14,22.3,496.0,66.7,11.9,19.0
18,22.3,496.0,66.7,11.9,19.0
10,23.4,549.4,59.1,31.8,9.1
16,21.5,461.4,64.3,21.4,14.3
13,28.2,792.4,52.1,33.3,12.5
31,28.2,792.4,42.1,23.3,22.5
8,23.3,542.0,74.0,18.0,6.0
9,22.4,502.7,76.0,20.0,2.0
17,30.6,934.5,65.5,25.9,5.2
18,30.6,934.5,65.5,25.9,5.2
24,22.4,502.7,76.0,20.0,2.0
8,16.7,279.2,50.0,32.1,17.9
10,20.8,432.2,70.5,18.2,11.4
11,24.3,590.5,71.4,14.3,10.2
13,21.6,464.8,63.2,21.1,5.3
9,21.6,466.6,86.2,10.3,3.4
10,21.6,466.6,86.2,10.3,3.4
14,19.7,386.9,79.2,18.8,2.1
13,20.2,409.7,76.6,17.0,6.4
15,18.8,354.9,75.6,17.1,4.9
20,20.3,410.9,75.0,18.2,4.5
20,18.8,354.9,75.6,17.1,4.9
9,24.6,604.2,52.4,33.3,11.9
17,21.5,460.1,54.1,29.7,13.5
30,24.9,620.5,61.7,34.0,22.1
9,21.0,439.3,61.5,30.8,5.1
12,23.3,543.4,65.9,13.6,18.2
26,21.0,439.3,61.5,30.8,5.1
27,33.8,1144.5,64.6,23.1,10.8
31,35.0,1225.0,57.6,21.6,19.5
10,21.1,445.6,78.0,16.0,6.0
10,21.1,445.2,74.5,19.1,4.3
11,19.5,381.4,78.7,17.0,4.3
15,23.0,530.8,60.5,23.3,16.3
18,23.8,564.1,58.1,23.3,18.6
28,34.9,1218.0,60.6,27.3,12.1
30,36.2,1309.0,56.9,26.2,16.9
30,36.2,1309.0,56.9,26.2,16.9
12,25.6,655.4,61.2,32.7,4.1
20,22.2,492.8,69.8,18.6,7.0
7,12.8,162.6,71.4,25.0,3.6
8,19.0,359.5,72.5,17.5,5.0
19,26.3,691.2,60.8,35.3,3.9
11,23.4,545.2,65.2,19.6,15.2
11,27.5,755.7,65.5,27.3,5.5
12,22.3,499.1,67.4,28.3,2.2
18,29.5,869.7,58.5,34.0,3.8
25,29.5,869.7,58.5,34.0,3.8
10,16.5,272.3,87.5,7.5,0.0
21,21.4,457.5,70.5,22.7,4.5
22,21.4,457.5,70.5,22.7,4.5
14,21.3,455.0,74.4,11.6,4.7
24,27.4,748.0,64.8,25.9,7.4
13,24.6,602.7,70.0,20.0,8.0
16,19.2,370.2,68.4,21.1,7.9
23,27.7,766.2,57.4,27.7,10.6
31,30.3,919.3,53.9,19.4,21.1
11,28.2,794.7,64.3,26.8,8.9
9,19.4,377.5,76.2,16.7,2.4
10,24.2,587.6,70.6,19.6,7.8
15,19.4,377.5,76.2,16.7,2.4
7,26.0,677.6,62.7,29.4,7.8
12,20.5,419.0,84.3,7.8,3.9
27,26.5,699.6,60.0,30.0,10.0
8,27.8,770.1,63.6,29.1,7.3
13,27.2,738.2,57.1,26.5,16.3
13,23.3,544.8,60.5,23.3,14.0
19,29.2,851.5,63.8,29.3,6.9
26,31.6,995.4,53.6,37.5,8.9
10,27.3,744.7,54.2,35.4,8.3
11,24.8,612.6,62.5,27.1,10.4
12,21.7,472.2,56.4,33.3,7.7
18,21.7,472.2,56.4,33.3,7.7
16,17.8,317.2,68.6,25.7,5.0
10,21.1,443.5,72.3,25.5,2.1
29,19.9,395.6,78.3,19.6,11.0
14,23.3,541.0,70.8,20.8,6.3
13,28.0,786.2,64.3,32.1,1.8
23,33.0,1086.4,55.7,42.6,21.6
29,35.5,1263.1,55.4,20.0,24.6
13,24.8,617.0,74.5,12.7,12.7
18,24.6,607.1,69.2,23.1,7.7
28,24.6,607.1,59.2,23.1,27.7
15,27.1,731.7,76.3,13.6,6.8
8,26.6,707.0,55.3,31.9,10.6
19,26.6,707.0,55.3,31.9,10.6
13,18.2,332.7,75.6,17.1,4.9
12,21.0,439.7,73.3,22.2,2.2
9,23.8,565.0,67.3,24.5,8.2
13,23.8,565.0,67.3,24.5,8.2
5,12.2,149.3,79.3,10.3,10.3
8,12.2,149.3,79.3,10.3,10.3
12,17.6,309.8,60.6,24.2,15.2
8,12.0,144.0,50.0,30.0,20.0
9,18.0,322.9,67.6,17.6,8.8
10,10.7,115.3,57.9,15.8,26.3
11,10.7,115.3,57.9,15.8,26.3
14,10.7,115.3,57.9,15.8,26.3
9,14.2,201.9,75.0,15.6,9.4
10,14.2,201.9,75.0,15.6,9.4
10,14.2,201.9,75.0,15.6,9.4
11,14.2,201.9,75.0,15.6,9.4
9,13.6,184.7,61.5,26.9,11.5
5,17.2,295.2,64.7,23.5,11.8
9,16.3,266.7,66.7,21.2,12.1
6,15.7,245.2,65.5,10.3,17.2
6,13.6,184.4,63.0,33.3,3.7
9,15.7,245.2,65.5,10.3,17.2
16,15.7,245.2,65.5,10.3,17.2
28,26.1,681.7,50.0,26.4,23.6
5,9.8,95.8,84.0,8.0,8.0
7,12.5,157.3,77.8,11.1,7.4
10,12.5,157.3,77.8,11.1,7.4
10,18.9,358.0,56.3,31.3,6.3
14,22.2,492.8,54.1,32.4,8.1
15,18.9,358.0,56.3,31.3,6.3
17,13.6,185.8,73.3,16.7,10.0
18,13.6,185.8,73.3,16.7,10.0
23,13.6,185.8,73.3,16.7,10.0
5,18.5,341.5,69.2,23.1,7.7
6,14.9,220.8,53.8,30.8,15.4
9,14.9,220.8,53.8,30.8,15.4
10,18.5,341.5,69.2,23.1,7.7
15,17.0,288.7,53.3,36.7,10.0
8,16.7,277.2,76.9,17.9,5.1
12,22.4,502.2,50.0,36.8,13.2
11,15.8,248.4,70.6,23.5,5.9
11,9.4,87.8,88.5,7.7,3.8
11,15.3,235.3,59.3,29.6,7.4
28,19.1,364.8,46.9,46.9,26.3
29,34.1,1162.8,46.9,35.9,16.3
7,15.7,247.4,66.7,33.3,0.0
9,12.1,145.4,80.0,20.0,0.0
17,18.2,331.6,72.5,20.0,7.5
7,14.1,199.9,59.3,37.0,3.7
10,18.0,324.7,63.9,30.6,5.6
7,12.2,148.8,74.1,14.8,11.1
10,12.2,148.8,74.1,14.8,11.1
10,12.3,151.3,62.5,29.2,8.3
11,19.7,387.3,50.0,44.1,5.9
9,16.1,260.2,56.7,40.0,3.3
18,16.1,260.2,56.7,40.0,3.3
9,15.0,223.8,85.0,15.0,0.0
11,11.1,123.4,90.6,6.3,3.1
15,16.3,264.1,73.5,17.6,5.9
9,19.0,362.5,66.7,25.6,7.7
9,19.0,362.5,66.7,25.6,7.7
20,19.3,373.6,61.1,19.4,19.4
13,16.2,262.4,71.4,20.0,8.6
9,16.7,279.9,64.7,32.4,2.9
10,17.0,290.4,55.2,34.5,6.9
12,14.2,200.2,57.7,30.8,11.5
12,14.2,200.2,57.7,30.8,11.5
14,14.2,200.2,57.7,30.8,11.5
22,17.0,290.4,55.2,34.5,6.9
8,11.8,139.5,82.8,3.4,13.8
12,11.8,139.5,82.8,3.4,13.8
13,17.0,290.0,64.7,26.5,8.8
16,14.3,205.3,71.0,22.6,6.5
16,17.0,290.0,64.7,26.5,8.8
6,13.8,189.1,69.0,24.1,6.9
9,13.8,189.1,69.0,24.1,6.9
10,13.1,170.3,71.4,17.9,10.7
13,11.9,141.4,66.7,20.8,12.5
14,13.1,170.3,71.4,17.9,10.7
8,11.9,140.7,60.9,34.8,4.3
8,18.2,330.5,69.2,28.2,2.6
9,17.2,295.2,71.1,28.9,0.0
10,18.2,330.5,69.2,28.2,2.6
13,12.2,148.6,66.7,12.5,20.8
14,12.2,148.6,66.7,12.5,20.8
10,18.9,355.7,55.9,32.4,11.8
12,18.9,355.7,55.9,32.4,11.8
15,16.0,257.3,65.6,21.9,12.5
16,16.0,257.3,65.6,21.9,12.5
6,16.3,265.7,62.5,31.3,6.3
11,14.9,223.2,76.5,11.8,11.8
10,13.4,178.2,78.1,18.8,3.1
9,12.8,162.6,86.2,6.9,0.0
9,12.5,156.0,66.7,29.2,0.0
11,12.5,156.0,66.7,29.2,0.0
14,20.7,429.3,59.0,33.3,7.7
11,10.5,109.2,68.2,27.3,4.5
7,14.2,201.1,71.0,25.8,3.2
9,14.2,201.1,71.0,25.8,3.2
12,19.8,391.2,61.1,27.8,8.3
13,19.8,391.2,61.1,27.8,8.3
7,12.5,156.5,80.0,10.0,10.0
7,14.5,209.7,71.0,19.4,9.7
7,17.0,289.3,59.4,31.3,9.4
7,17.0,289.3,59.4,31.3,9.4
8,17.0,289.3,59.4,31.3,9.4
10,12.5,155.3,70.4,25.9,3.7
12,17.5,305.6,71.1,23.7,5.3
14,15.4,238.4,57.1,28.6,14.3
13,13.9,192.7,63.0,25.9,11.1
5,12.1,145.7,79.3,13.8,6.9
9,12.1,145.7,79.3,13.8,6.9
10,12.1,145.7,79.3,13.8,6.9
10,13.4,179.8,80.0,10.0,6.7
10,12.8,163.8,80.6,9.7,9.7
4,9.3,86.7,70.0,25.0,5.0
16,20.1,404.4,70.7,19.5,7.3
17,20.1,404.4,70.7,19.5,7.3
10,16.7,277.6,76.3,13.2,10.5
11,20.7,426.4,69.8,16.3,14.0
13,20.7,426.4,69.8,16.3,14.0
6,12.3,150.1,88.2,8.8,2.9
9,12.5,157.3,88.6,8.6,2.9
13,15.9,253.1,70.6,20.6,8.8
16,13.4,178.8,76.7,6.7,16.7
18,15.9,253.1,70.6,20.6,8.8
6,14.1,198.2,79.4,14.7,5.9
8,14.9,222.3,72.7,21.2,6.1
10,14.9,222.3,72.7,21.2,6.1
11,8.8,77.3,87.5,8.3,4.2
8,13.6,186.0,78.8,18.2,3.0
9,13.6,186.0,78.8,18.2,3.0
7,15.3,234.1,64.5,32.3,3.2
7,15.3,234.1,64.5,32.3,3.2
14,18.3,336.4,77.5,7.5,12.5
15,18.3,336.4,77.5,7.5,12.5
16,18.3,336.4,77.5,7.5,12.5
27,18.3,336.4,77.5,37.5,12.5
9,13.5,181.7,73.3,20.0,6.7
15,22.4,500.0,65.9,15.9,18.2
19,22.4,500.0,65.9,15.9,18.2
11,13.7,186.3,78.1,12.5,9.4
11,21.5,463.1,66.7,23.8,7.1
19,16.4,267.6,76.3,18.4,5.3
22,21.5,463.1,66.7,23.8,7.1
12,16.0,256.3,51.9,25.9,22.2
20,18.7,349.7,62.5,18.8,12.5
30,28.7,823.7,62.5,18.8,22.5
11,15.6,241.8,53.6,42.9,3.6
12,18.3,333.1,79.5,13.6,6.8
11,18.3,335.6,63.9,25.0,11.1
14,12.6,159.0,70.4,22.2,7.4
15,12.6,159.0,70.4,22.2,7.4
15,18.3,335.6,63.9,25.0,11.1
18,18.3,335.6,63.9,25.0,11.1
18,18.3,335.6,63.9,25.0,11.1
18,18.3,335.6,63.9,25.0,11.1
25,18.3,335.6,63.9,25.0,11.1
25,19.8,390.5,69.0,26.2,4.8
10,15.8,248.7,69.7,18.2,12.1
22,16.3,264.4,78.4,18.9,24.0
10,15.4,235.9,78.4,18.9,2.7
13,15.4,235.9,78.4,18.9,2.7
13,14.4,207.1,83.8,10.8,5.4
14,15.4,235.9,78.4,18.9,2.7
8,14.5,210.0,76.5,20.6,2.9
14,14.4,206.5,80.0,14.3,5.7
15,14.4,206.5,80.0,14.3,5.7
15,14.5,210.0,76.5,20.6,2.9
16,14.5,210.0,76.5,20.6,2.9
18,14.5,210.0,76.5,20.6,2.9
19,14.5,210.0,76.5,20.6,2.9
19,14.4,206.5,80.0,14.3,5.7
13,17.9,319.3,63.9,33.3,2.8
16,12.5,155.3,60.9,26.1,8.7
21,20.2,408.0,57.1,28.6,11.4
9,17.1,293.1,80.5,7.3,12.2
20,12.7,160.3,73.1,19.2,3.8
11,15.9,252.2,66.7,30.3,3.0
19,13.3,176.9,60.0,28.0,12.0
11,19.2,368.6,58.8,29.4,8.8
12,16.1,257.9,70.6,17.6,11.8
10,13.5,183.1,81.8,12.1,3.0
15,21.0,440.2,48.6,37.1,14.3
9,15.8,248.1,55.6,37.0,3.7
10,15.8,248.1,55.6,37.0,3.7
18,15.8,248.1,55.6,37.0,3.7
16,20.7,428.9,57.6,30.3,3.0
19,20.7,428.9,57.6,30.3,3.0
10,14.1,198.0,74.2,12.9,12.9
15,13.1,170.8,76.7,13.3,10.0
23,23.7,559.8,64.4,28.9,2.2
12,17.7,314.4,62.9,31.4,5.7
14,17.7,314.7,61.8,26.5,11.8
17,17.7,314.4,62.9,31.4,5.7
17,12.9,166.2,64.0,20.0,16.0
19,17.7,314.4,62.9,31.4,5.7
19,17.7,314.4,62.9,31.4,5.7
20,28.9,834.6,64.0,20.0,16.0
23,12.9,166.2,64.0,20.0,16.0
25,22.9,524.0,64.0,20.0,16.0
11,21.3,452.8,56.4,35.9,7.7
12,13.9,193.2,69.0,20.7,10.3
14,21.3,452.8,56.4,35.9,7.7
14,21.3,452.8,56.4,35.9,7.7
16,16.5,270.9,61.3,22.6,16.1
12,22.6,511.7,50.0,27.8,19.4
27,31.9,1018.2,75.0,21.9,23.1
12,15.1,227.7,81.6,15.8,2.6
12,15.1,227.7,81.6,15.8,2.6
15,9.7,93.3,88.9,7.4,3.7
15,17.9,321.8,75.6,17.1,7.3
16,17.9,321.8,75.6,17.1,7.3
10,16.8,280.6,69.4,27.8,2.8
11,19.1,364.4,78.3,19.6,2.2
17,19.3,371.3,80.9,10.6,8.5
12,16.7,277.2,76.9,17.9,5.1
14,16.7,277.2,76.9,17.9,5.1
15,16.7,277.2,76.9,17.9,5.1
8,15.0,225.6,62.1,27.6,10.3
11,10.1,101.6,84.6,7.7,7.7
12,10.1,101.6,84.6,7.7,7.7
9,20.6,425.2,66.7,23.8,9.5
11,20.6,425.2,66.7,23.8,9.5
14,27.4,748.0,60.0,30.0,8.0
16,27.4,748.0,60.0,30.0,8.0
19,20.6,425.2,66.7,23.8,9.5
21,27.4,748.0,60.0,30.0,8.0
13,17.3,300.0,65.7,25.7,8.6
15,17.3,300.0,65.7,25.7,8.6
18,17.3,300.0,65.7,25.7,8.6
14,25.6,656.9,64.0,26.0,8.0
17,25.6,656.9,64.0,26.0,8.0
10,16.8,280.9,68.6,22.9,8.6
10,16.8,280.9,68.6,22.9,8.6
12,18.9,356.8,66.7,28.2,5.1
11,27.4,750.2,66.7,13.0,20.4
22,11.7,135.7,83.3,13.3,3.3
11,14.7,214.6,69.0,24.1,3.4
17,15.5,239.6,60.7,10.7,28.6
13,17.0,289.3,59.4,31.3,9.4
10,17.9,320.8,59.4,31.3,6.3
14,21.5,462.7,67.4,27.9,2.3
26,21.5,462.7,67.4,27.9,22.3
26,27.5,757.9,73.0,21.6,2.7
10,17.6,308.7,56.3,34.4,9.4
13,11.0,121.2,63.6,31.8,4.5
16,11.0,121.2,63.6,31.8,4.5
19,11.0,121.2,63.6,31.8,4.5
26,26.0,676.5,63.6,31.8,4.5
26,26.0,676.5,63.6,31.8,4.5
26,26.0,676.5,63.6,31.8,4.5
10,19.8,390.1,64.1,25.6,10.3
11,19.8,390.1,64.1,25.6,10.3
14,16.2,262.4,71.4,20.0,8.6
15,16.2,262.4,71.4,20.0,8.6
17,12.1,146.4,83.3,3.3,13.3
13,17.8,317.9,53.1,43.8,3.1
30,20.1,404.4,43.8,40.6,15.6
8,10.2,104.0,80.0,16.0,4.0
9,11.2,125.4,76.9,15.4,7.7
15,23.2,536.4,61.5,15.4,15.4
12,18.9,358.3,62.9,25.7,8.6
12,18.9,358.3,62.9,25.7,8.6
8,15.0,225.9,68.8,28.1,3.1
10,15.0,225.9,68.8,28.1,3.1
17,6.7,45.4,73.3,20.0,6.7
13,14.2,200.2,45.5,20.0,20.0
9,7.9,62.7,85.7,9.5,4.8
12,11.1,122.1,76.9,19.2,3.8
10,10.7,114.5,52.6,42.1,5.3
10,11.9,142.3,70.8,8.3,16.7
13,13.8,190.2,78.8,15.2,6.1
15,13.2,174.2,50.0,30.0,10.0
8,10.6,112.6,76.0,24.0,0.0
19,22.4,503.6,58.3,25.0,8.3
7,8.1,65.3,85.0,5.0,5.0
12,11.8,138.3,63.6,18.2,13.6
14,11.8,138.3,63.6,18.2,13.6
14,11.8,138.3,63.6,18.2,13.6
11,15.1,228.0,75.8,21.2,0.0
12,13.2,174.5,77.4,16.1,6.5
11,3.5,12.1,100.0,0.0,0.0
12,15.9,251.5,61.3,35.5,3.2
10,7.4,54.0,83.3,0.0,16.7
11,14.0,195.4,65.4,26.9,22.0
11,7.3,53.7,75.0,18.8,0.0
13,17.8,316.1,71.1,18.4,10.5
14,14.0,195.4,65.4,26.9,21.0
16,17.8,316.1,71.1,18.4,10.5
8,8.9,79.9,87.5,4.2,8.3
11,14.4,206.5,80.0,14.3,5.7
13,8.9,79.9,87.5,4.2,8.3
9,16.6,276.9,72.2,16.7,11.1
11,16.6,276.9,72.2,16.7,11.1
13,10.6,112.4,68.2,22.7,9.1
10,9.2,84.5,76.2,14.3,9.5
10,12.3,151.3,50.0,40.0,0.0
9,16.2,262.8,63.3,26.7,6.7
11,16.2,262.8,63.3,26.7,6.7
8,17.6,310.8,56.7,26.7,13.3
11,16.2,263.7,74.3,17.1,2.9
12,11.6,134.6,65.2,21.7,13.0
13,17.8,315.8,58.1,29.0,9.7
15,17.8,315.8,58.1,29.0,9.7
16,17.8,315.8,58.1,29.0,9.7
17,17.8,315.8,58.1,29.0,9.7
22,17.7,311.9,61.3,22.6,9.7
9,8.2,66.7,72.2,22.2,5.6
10,8.2,66.7,72.2,22.2,5.6
11,14.3,205.6,61.5,30.8,3.8
11,6.3,39.7,71.4,28.6,0.0
10,18.5,343.4,56.7,26.7,10.0
13,12.8,162.6,71.4,25.0,3.6
28,33.9,1148.5,83.9,29.7,25.0
11,9.3,85.9,50.0,43.8,6.3
11,21.4,457.5,70.5,22.7,4.5
16,21.4,457.5,70.5,22.7,4.5
20,21.4,457.5,70.5,22.7,4.5
13,6.7,45.4,73.3,20.0,6.7
3,4.6,21.3,81.8,0.0,18.2
9,14.0,195.4,68.0,20.0,4.0
9,14.0,195.4,68.0,20.0,4.0
9,4.1,16.5,100.0,0.0,0.0
14,6.7,44.2,76.9,7.7,7.7
3,2.0,4.1,64.3,28.6,7.1
7,12.5,155.3,70.4,25.9,3.7
6,13.0,169.0,60.0,36.0,4.0
8,7.9,62.1,70.6,23.5,5.9
10,7.9,62.1,70.6,23.5,5.9
13,10.7,114.5,52.6,42.1,5.3
6,14.0,194.6,71.4,17.9,7.1
6,4.9,24.3,100.0,0.0,0.0
4,16.0,256.6,60.0,26.7,13.3
5,12.6,159.0,70.4,22.2,7.4
5,12.6,159.0,70.4,22.2,7.4
10,17.1,290.7,69.4,22.2,8.3
6,13.6,185.5,74.2,22.6,3.2
24,20.8,434.3,55.3,39.5,5.3
4,9.5,89.9,77.3,13.6,9.1
6,9.5,89.9,77.3,13.6,9.1
7,14.0,195.2,76.7,13.3,6.7
6,14.5,209.1,65.5,24.1,10.3
10,7.7,59.4,60.0,40.0,0.0
11,5.5,29.7,76.9,23.1,0.0
7,15.9,251.2,41.7,37.5,16.7
5,10.5,111.1,89.7,0.0,10.3
11,19.1,366.0,76.2,16.7,4.8
13,9.4,88.7,50.0,37.5,12.5
10,21.0,442.3,64.3,28.6,7.1
11,21.0,442.3,64.3,28.6,7.1
9,9.3,86.7,70.0,25.0,5.0
10,4.1,16.5,100.0,0.0,0.0
10,10.3,106.9,80.8,19.2,0.0
14,12.0,143.8,52.4,38.1,9.5
11,8.9,78.5,56.3,31.3,12.5
12,10.2,104.9,89.7,6.9,3.4
9,13.5,183.1,75.9,17.2,3.4
2,9.8,95.6,84.6,15.4,0.0
8,14.8,218.7,76.5,14.7,8.8
10,6.8,45.6,50.0,40.0,0.0
5,9.1,82.1,82.6,13.0,4.3
8,5.3,28.2,75.0,16.7,8.3
5,5.8,33.4,94.4,5.6,0.0
9,14.9,222.3,56.0,28.0,12.0
3,5.2,27.0,93.8,6.3,0.0
10,7.4,55.1,57.1,42.9,0.0
9,5.0,25.3,70.0,20.0,0.0
6,11.4,129.3,82.1,7.1,10.7
6,11.4,129.3,82.1,7.1,10.7
12,18.1,326.2,66.7,22.2,8.3
15,16.5,271.6,58.6,31.0,6.9
11,16.9,285.9,68.6,20.0,11.4
6,16.4,269.3,82.9,7.3,9.8
3,8.1,65.4,91.3,0.0,8.7
10,8.6,74.3,72.2,16.7,5.6
15,15.8,249.3,67.7,25.8,3.2
4,8.5,72.3,87.0,8.7,4.3
5,8.5,72.3,87.0,8.7,4.3
15,9.2,83.7,58.8,29.4,11.8
15,9.2,83.7,58.8,29.4,11.8
