SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
24,26.6,705.4,40.0,40.0,20.0
3,8.6,74.3,81.8,18.2,0.0
4,8.6,74.3,81.8,18.2,0.0
15,14.4,205.9,69.0,10.3,20.7
22,14.4,205.9,69.0,10.3,20.7
8,23.0,529.9,71.7,19.6,4.3
12,23.0,529.9,71.7,19.6,4.3
5,10.6,113.2,80.8,11.5,7.7
7,6.7,45.4,73.3,20.0,6.7
15,8.2,66.4,62.5,31.3,6.3
7,5.9,35.2,94.4,0.0,5.6
9,11.1,122.1,76.9,19.2,3.8
12,11.1,122.1,76.9,19.2,3.8
13,11.1,122.1,76.9,19.2,3.8
6,6.6,43.7,82.4,17.6,0.0
7,11.3,128.4,70.8,16.7,12.5
9,21.0,441.4,64.9,13.5,16.2
9,11.2,125.0,70.8,20.8,8.3
6,7.4,54.2,90.5,4.8,4.8
11,8.9,78.7,68.4,31.6,0.0
14,16.9,285.6,69.4,25.0,5.6
6,16.5,272.9,69.7,21.2,6.1
10,6.2,38.7,94.7,0.0,5.3
4,9.6,92.2,71.4,23.8,4.8
6,16.2,263.4,68.8,21.9,6.3
12,18.0,322.9,82.6,15.2,2.2
5,8.4,69.7,87.0,13.0,0.0
8,10.3,106.9,80.8,19.2,0.0
8,10.8,116.2,81.5,14.8,3.7
10,10.8,116.2,81.5,14.8,3.7
14,17.8,316.1,64.7,29.4,2.9
16,17.8,316.1,64.7,29.4,2.9
22,11.5,131.1,65.2,26.1,8.7
22,11.5,131.1,65.2,26.1,8.7
9,12.1,146.7,87.9,6.1,6.1
14,12.1,146.7,87.9,6.1,6.1
17,20.9,438.1,71.1,20.0,8.9
19,20.9,438.1,71.1,20.0,8.9
21,20.9,438.1,71.1,20.0,8.9
29,20.9,438.1,61.1,20.0,18.9
9,8.2,67.7,91.7,4.2,4.2
15,7.6,57.9,77.8,16.7,5.6
9,8.9,79.9,87.5,4.2,8.3
14,10.2,104.4,85.2,11.1,3.7
15,17.4,302.1,66.7,18.2,12.1
9,7.4,54.5,95.7,0.0,4.3
23,13.9,193.8,74.2,16.1,9.7
24,17.7,312.6,58.6,24.1,10.3
27,17.7,312.6,58.6,24.1,10.3
11,18.4,340.0,60.0,31.4,8.6
16,15.1,228.6,80.0,17.1,23.0
8,8.5,72.1,80.0,15.0,0.0
25,27.8,775.1,51.6,38.7,9.7
10,17.5,305.6,71.1,23.7,5.3
11,17.5,305.6,71.1,23.7,5.3
12,17.5,305.6,71.1,23.7,5.3
12,17.5,305.6,71.1,23.7,5.3
12,17.5,305.6,71.1,23.7,5.3
12,17.5,305.6,71.1,23.7,5.3
13,17.5,305.6,71.1,23.7,5.3
14,17.5,305.6,71.1,23.7,5.3
14,17.5,305.6,71.1,23.7,5.3
22,17.5,305.6,71.1,23.7,5.3
23,17.5,305.6,71.1,23.7,5.3
28,27.5,755.2,61.1,23.7,15.3
11,10.5,110.9,90.0,6.7,3.3
12,15.8,249.6,78.9,15.8,5.3
13,15.8,249.6,78.9,15.8,5.3
7,11.0,119.9,86.2,6.9,6.9
9,11.0,119.9,86.2,6.9,6.9
11,10.9,119.0,76.0,16.0,8.0
12,11.0,119.9,86.2,6.9,6.9
14,11.0,119.9,86.2,6.9,6.9
8,6.4,40.7,100.0,0.0,0.0
11,6.4,40.7,100.0,0.0,0.0
12,15.4,237.8,50.0,42.3,3.8
13,20.4,417.8,68.4,15.8,10.5
14,20.4,417.8,68.4,15.8,10.5
21,20.4,417.8,68.4,15.8,10.5
21,20.4,417.8,68.4,15.8,10.5
10,8.3,69.1,73.7,26.3,0.0
6,5.2,27.0,93.8,6.3,0.0
27,27.2,737.1,60.6,33.3,6.1
27,27.2,737.1,60.6,33.3,6.1
12,14.4,207.9,69.2,15.4,7.7
16,14.4,207.9,69.2,15.4,7.7
13,18.4,338.6,69.4,13.9,13.9
8,18.3,336.4,68.4,21.1,10.5
9,11.3,128.1,72.0,24.0,4.0
11,18.3,336.4,68.4,21.1,10.5
11,18.3,336.4,68.4,21.1,10.5
9,9.7,93.7,93.1,3.4,3.4
11,12.0,143.0,87.9,9.1,3.0
14,18.3,336.4,68.4,26.3,2.6
19,18.3,336.4,68.4,26.3,2.6
10,13.0,170.0,72.4,24.1,3.4
10,15.3,235.3,74.3,22.9,2.9
12,15.3,235.3,74.3,22.9,2.9
9,11.2,124.8,72.0,28.0,0.0
11,8.4,70.4,96.3,3.7,0.0
10,12.0,144.7,68.0,24.0,8.0
10,10.7,115.3,69.6,26.1,4.3
11,12.0,144.7,68.0,24.0,8.0
7,24.1,579.8,61.4,25.0,11.4
7,24.1,579.8,61.4,25.0,11.4
7,3.9,15.1,77.8,11.1,11.1
11,24.1,579.8,61.4,25.0,11.4
20,24.1,579.8,61.4,25.0,11.4
22,24.1,579.8,61.4,25.0,11.4
7,11.9,142.3,78.6,10.7,10.7
7,12.2,149.1,73.1,7.7,19.2
8,10.1,101.6,84.6,7.7,7.7
9,6.0,36.2,66.7,16.7,16.7
12,6.0,36.2,66.7,16.7,16.7
15,10.7,114.5,83.3,20.0,12.5
14,20.6,425.6,69.2,15.4,10.3
7,9.1,81.9,75.0,10.0,15.0
7,12.9,166.4,71.4,21.4,7.1
5,3.0,9.1,70.0,15.0,10.0
7,21.0,441.8,70.0,15.0,10.0
9,21.0,441.8,70.0,15.0,10.0
16,13.0,168.0,80.0,30.0,10.0
26,33.0,1086.4,80.0,0.0,20.0
13,10.4,108.6,72.2,5.6,11.1
19,10.4,108.6,72.2,5.6,11.1
20,10.4,108.6,72.2,5.6,11.1
8,15.9,252.2,48.0,16.0,6.0
27,15.9,252.2,48.0,16.0,26.0
8,18.1,326.2,66.7,16.7,16.7
8,18.1,326.2,66.7,16.7,16.7
9,14.1,198.2,73.3,6.7,20.0
5,17.6,310.5,65.7,20.0,14.3
7,17.6,310.5,65.7,20.0,14.3
10,14.7,215.5,79.4,2.9,17.6
7,8.2,67.6,85.7,0.0,14.3
22,28.2,796.4,85.7,32.0,4.3
3,5.0,24.5,71.4,25.7,2.9
6,17.0,287.3,71.4,25.7,2.9
6,12.7,160.0,80.6,12.9,6.5
6,15.5,240.9,71.9,21.9,3.1
8,19.1,364.4,73.8,14.3,11.9
9,6.2,37.9,44.4,22.2,22.2
9,6.2,37.9,44.4,22.2,22.2
11,16.1,259.2,45.5,9.1,31.8
25,16.1,259.2,45.5,9.1,31.8
6,23.5,553.7,72.5,15.7,11.8
8,23.5,553.7,72.5,15.7,11.8
16,23.5,553.7,72.5,15.7,11.8
10,19.9,394.4,54.3,31.4,14.3
10,15.2,230.1,62.1,24.1,13.8
10,6.9,47.1,40.0,20.0,20.0
8,19.1,364.4,68.4,7.9,23.7
10,12.4,153.0,61.9,9.5,23.8
15,12.4,153.0,61.9,9.5,23.8
4,4.8,22.7,66.7,22.2,11.1
7,17.8,315.4,66.7,22.2,11.1
9,7.3,53.3,45.5,9.1,25.5
10,7.3,53.3,45.5,9.1,25.5
13,7.3,53.3,45.5,9.1,25.5
31,27.3,745.3,45.5,9.1,25.5
8,24.8,617.0,70.6,7.8,21.6
14,24.8,617.0,70.6,7.8,21.6
9,9.8,95.8,64.7,0.0,23.5
11,17.8,317.2,74.4,10.3,15.4
10,24.6,606.1,60.9,21.7,17.4
8,16.0,255.0,82.5,10.0,7.5
8,16.0,255.0,82.5,10.0,7.5
7,22.8,518.5,63.6,20.5,15.9
16,22.8,518.5,63.6,20.5,15.9
8,11.4,130.9,55.0,25.0,20.0
9,6.1,37.7,54.5,36.4,9.1
9,6.1,37.7,54.5,36.4,9.1
12,11.4,130.9,55.0,25.0,20.0
14,19.6,384.9,62.2,18.9,18.9
17,11.4,130.9,55.0,25.0,20.0
15,18.7,348.6,76.7,14.0,9.3
8,19.9,397.2,67.5,15.0,17.5
9,19.9,397.2,67.5,15.0,17.5
15,14.4,205.9,69.0,10.3,20.7
12,26.8,719.8,68.5,11.1,20.4
13,26.8,719.8,68.5,11.1,20.4
6,16.2,262.1,65.6,18.8,15.6
9,8.4,69.9,64.3,7.1,21.4
9,16.2,262.1,65.6,18.8,15.6
5,5.7,32.1,73.3,13.3,13.3
14,13.2,174.5,70.4,7.4,22.2
8,16.2,261.5,50.0,15.4,24.6
8,16.2,261.5,50.0,15.4,24.6
24,26.2,684.9,50.0,15.4,24.6
10,12.3,152.3,66.7,8.3,25.0
8,11.2,125.7,76.0,8.0,16.0
12,21.5,462.7,61.5,7.7,30.8
12,18.9,355.7,46.7,26.7,26.7
17,16.4,267.6,53.8,7.7,30.8
20,16.4,267.6,53.8,7.7,30.8
7,14.2,202.2,74.2,9.7,16.1
11,11.6,135.0,72.0,16.0,12.0
13,11.5,132.9,81.5,3.7,11.1
20,20.2,408.8,73.3,20.0,6.7
9,20.1,403.6,76.7,17.7,5.6
10,12.3,150.3,87.9,3.0,9.1
12,12.3,150.3,87.9,3.0,9.1
13,12.3,150.3,87.9,3.0,9.1
16,20.3,412.1,55.6,27.8,16.7
29,30.7,940.0,40.4,40.4,19.1
8,13.3,175.6,85.7,8.6,5.7
11,13.3,175.6,85.7,8.6,5.7
29,33.6,1129.0,47.2,20.8,32.1
7,14.4,207.9,76.7,3.3,16.7
12,14.4,207.9,76.7,3.3,16.7
19,26.4,696.4,40.0,37.5,22.5
20,26.4,696.4,40.0,37.5,22.5
8,26.4,696.4,40.0,37.5,22.5
9,14.7,215.2,80.0,8.6,11.4
8,16.2,263.1,62.1,20.7,13.8
10,14.7,216.1,62.5,12.5,16.7
10,14.7,216.1,62.5,12.5,16.7
25,24.7,610.1,62.5,32.5,16.7
6,20.0,398.0,71.4,11.9,16.7
12,9.8,95.1,58.8,5.9,25.3
13,14.1,197.7,58.3,8.3,29.2
16,14.9,223.2,70.0,3.3,26.7
7,18.5,342.6,72.5,15.0,12.5
10,13.4,178.2,71.4,10.7,17.9
9,16.2,263.1,69.7,9.1,21.2
11,16.2,263.1,69.7,9.1,21.2
12,16.2,263.1,69.7,9.1,21.2
14,16.2,263.1,69.7,9.1,21.2
14,16.2,263.1,69.7,9.1,21.2
10,15.2,232.0,63.0,14.8,18.5
15,15.2,232.0,63.0,14.8,18.5
16,15.2,232.0,63.0,14.8,18.5
15,30.1,903.0,61.4,24.6,14.0
8,8.8,76.7,73.7,10.5,15.8
13,13.4,179.6,74.1,7.4,14.8
15,13.4,179.6,74.1,7.4,14.8
10,26.0,677.0,52.3,25.0,22.7
22,27.6,763.4,85.0,10.0,5.0
27,29.6,877.9,59.3,20.4,20.4
29,29.6,877.9,59.3,20.4,20.4
19,30.2,910.2,58.9,28.6,12.5
10,28.5,810.5,56.0,22.0,22.0
26,30.6,938.8,57.4,16.7,25.9
27,30.6,938.8,57.4,16.7,25.9
10,22.7,514.8,68.9,4.4,26.7
19,22.7,514.8,68.9,4.4,26.7
7,24.3,590.5,70.0,25.0,5.0
12,15.1,229.2,57.1,35.7,7.1
13,6.8,46.0,89.5,5.3,5.3
6,8.1,65.1,85.7,4.8,9.5
8,14.4,206.8,79.4,8.8,11.8
14,14.4,206.8,79.4,8.8,11.8
2,10.4,107.1,80.0,12.0,8.0
3,10.4,107.1,80.0,12.0,8.0
6,16.9,287.0,72.2,11.1,16.7
7,16.9,287.0,72.2,11.1,16.7
11,16.9,287.0,72.2,11.1,16.7
3,11.1,122.5,75.0,4.2,20.8
4,10.9,119.2,75.0,8.3,16.7
7,9.1,82.4,88.0,8.0,4.0
12,10.9,119.2,75.0,8.3,16.7
4,3.9,15.1,75.0,12.5,0.0
4,3.9,15.1,75.0,12.5,0.0
9,14.6,214.3,70.0,10.0,20.0
17,14.6,214.3,70.0,10.0,20.0
10,13.3,176.1,89.2,5.4,5.4
3,13.9,194.3,72.4,3.4,24.1
6,16.6,274.2,82.9,4.9,12.2
9,13.9,194.3,72.4,3.4,24.1
10,18.1,326.2,59.4,9.4,31.3
11,18.1,326.2,59.4,9.4,31.3
14,18.1,326.2,59.4,9.4,31.3
25,18.1,326.2,59.4,9.4,31.3
29,32.6,1060.2,82.9,34.9,12.2
4,11.6,135.5,77.8,11.1,11.1
6,12.8,164.9,88.6,2.9,8.6
4,10.5,109.4,66.7,19.0,14.3
4,10.5,109.4,66.7,19.0,14.3
17,7.6,57.5,53.8,23.1,23.1
19,7.6,57.5,53.8,23.1,23.1
7,9.7,94.9,61.1,16.7,22.2
10,7.0,49.3,61.5,15.4,23.1
12,18.5,341.9,79.5,5.1,10.3
29,29.2,852.1,59.3,11.1,29.6
6,14.8,218.4,71.0,12.9,16.1
8,5.2,27.0,93.8,6.3,0.0
26,20.2,409.7,66.7,5.1,28.2
8,5.8,33.1,76.9,7.7,15.4
10,21.5,462.7,67.4,14.0,18.6
12,5.8,33.6,83.3,0.0,8.3
14,5.8,33.6,83.3,13.0,8.3
15,5.8,33.6,83.3,25.0,8.3
5,9.5,89.9,77.3,13.6,9.1
3,16.8,282.9,80.5,12.2,7.3
7,11.5,131.1,65.2,26.1,8.7
6,24.8,616.0,75.4,19.3,5.3
6,24.8,616.0,75.4,19.3,5.3
7,24.8,616.0,75.4,19.3,5.3
4,11.4,129.3,82.1,7.1,10.7
28,26.0,676.5,51.9,25.9,22.2
14,9.5,91.0,92.9,22.0,7.1
8,5.6,31.5,75.0,20.0,2.0
4,6.5,42.1,88.9,5.6,5.6
21,13.2,174.2,71.4,14.3,14.3
14,22.9,524.4,59.5,21.4,19.0
18,18.9,356.5,85.7,4.1,10.2
8,13.1,172.4,88.9,2.8,8.3
23,20.4,417.4,82.4,29.8,7.8
9,21.8,473.5,65.9,25.0,9.1
4,12.9,166.9,69.2,7.7,23.1
17,14.2,202.8,72.4,3.4,20.7
6,16.2,261.8,58.6,17.2,24.1
7,16.2,261.8,58.6,17.2,24.1
3,10.6,112.8,75.0,16.7,8.3
4,10.6,112.8,75.0,16.7,8.3
17,20.9,434.7,65.8,10.5,18.4
10,7.5,56.1,84.2,5.3,10.5
15,5.8,33.4,85.7,22.0,7.1
14,4.9,24.0,83.3,25.0,16.7
