SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
31,19.0,360.6,75.6,9.8,9.8
33,27.0,727.4,64.7,19.6,9.8
14,17.0,288.7,53.3,36.7,10.0
11,14.2,201.4,70.0,20.0,10.0
23,23.5,552.7,70.0,15.0,10.0
7,13.1,170.8,76.7,13.3,10.0
6,5.6,31.7,69.2,15.4,10.3
19,20.6,425.6,69.2,15.4,10.3
24,20.6,425.6,69.2,15.4,10.3
34,18.5,341.9,79.5,35.1,10.3
29,15.6,242.7,58.6,31.0,10.3
6,14.5,209.1,65.5,24.1,10.3
10,13.9,193.2,69.0,20.7,10.3
10,13.9,193.2,69.0,20.7,10.3
8,12.2,149.3,79.3,10.3,10.3
15,16.7,277.6,76.3,13.2,10.5
15,16.7,277.6,76.3,13.2,10.5
25,17.5,305.9,84.2,35.3,10.5
31,22.2,493.7,70.2,19.1,10.6
15,13.1,170.3,71.4,17.9,10.7
9,9.4,89.1,61.1,27.8,11.1
21,18.3,335.6,63.9,25.0,11.1
7,2.8,7.6,64.4,24.4,11.1
21,12.8,162.8,70.4,18.5,11.1
14,10.4,108.6,72.2,5.6,11.1
10,11.6,135.5,77.8,11.1,11.1
11,11.6,135.5,77.8,11.1,11.1
29,22.2,492.8,57.1,28.6,11.4
8,16.9,285.9,68.6,20.0,11.4
11,16.9,285.9,68.6,20.0,11.4
15,16.9,285.9,68.6,20.0,11.4
23,14.7,216.4,53.8,34.6,11.5
8,15.2,231.0,57.7,26.9,11.5
10,13.6,184.7,61.5,26.9,11.5
22,22.1,490.2,78.8,9.6,11.5
10,3.9,15.5,61.9,23.8,11.9
13,13.3,176.9,60.0,28.0,12.0
16,13.3,176.9,60.0,28.0,12.0
15,22.7,513.0,45.5,30.3,12.1
9,18.0,324.4,57.6,30.3,12.1
17,16.9,285.3,63.6,24.2,12.1
13,16.3,266.7,66.7,21.2,12.1
16,17.4,302.1,66.7,18.2,12.1
18,17.4,302.1,66.7,18.2,12.1
13,18.8,353.4,73.2,14.6,12.2
21,18.8,353.4,73.2,14.6,12.2
9,17.1,293.1,80.5,7.3,12.2
20,13.5,181.2,58.3,25.0,12.5
23,13.5,181.2,58.3,25.0,12.5
22,20.2,406.8,58.9,28.6,12.5
24,17.2,294.5,59.4,28.1,12.5
9,17.1,290.7,62.5,21.9,12.5
10,16.6,275.6,62.5,25.0,12.5
11,21.8,475.2,62.5,22.5,12.5
14,21.8,475.2,62.5,22.5,12.5
17,16.6,275.6,62.5,25.0,12.5
27,17.1,290.7,62.5,21.9,12.5
34,18.7,349.7,62.5,18.8,12.5
30,20.2,407.6,65.0,22.5,12.5
30,20.2,407.6,65.0,22.5,12.5
34,22.1,488.4,72.9,14.6,12.5
7,3.6,12.9,75.0,12.5,12.5
7,3.6,12.9,75.0,12.5,12.5
22,18.3,336.4,77.5,27.5,12.5
32,18.3,336.4,77.5,27.5,12.5
9,3.0,9.2,87.5,0.0,12.5
19,24.8,617.0,74.5,12.7,12.7
29,25.6,652.8,63.8,19.1,12.8
13,17.7,311.9,74.4,12.8,12.8
11,12.4,153.5,83.9,3.2,12.9
17,12.4,153.5,83.9,3.2,12.9
27,16.7,280.2,81.6,32.6,13.2
16,22.4,502.2,50.0,36.8,13.2
29,16.7,280.2,81.6,22.6,13.2
7,0.0,0.0,80.0,7.7,13.3
8,14.9,222.0,66.7,20.0,13.3
20,23.9,571.2,66.7,13.3,13.3
8,20.7,427.2,73.3,13.3,13.3
17,13.2,174.8,76.7,10.0,13.3
18,13.2,174.8,76.7,10.0,13.3
7,6.3,40.1,80.0,6.7,13.3
28,12.1,146.4,83.3,33.3,13.3
33,32.1,1030.4,83.3,33.3,13.3
12,10.8,115.6,68.2,18.2,13.6
8,9.1,82.3,81.8,4.5,13.6
17,18.4,338.6,69.4,13.9,13.9
14,10.1,101.0,61.4,24.6,14.0
25,19.9,394.4,54.3,31.4,14.3
31,27.6,760.7,55.1,30.6,14.3
12,15.4,238.4,57.1,28.6,14.3
15,15.4,238.4,57.1,28.6,14.3
6,17.6,310.5,65.7,20.0,14.3
8,13.2,174.2,71.4,14.3,14.3
9,13.2,174.2,71.4,14.3,14.3
22,19.8,392.0,71.4,14.3,14.3
12,24.5,599.8,64.6,20.8,14.6
20,16.6,273.9,73.5,5.9,14.7
25,16.6,273.9,73.5,25.9,14.7
28,16.6,273.9,73.5,25.9,14.7
15,13.4,179.6,74.1,7.4,14.8
17,9.6,92.4,70.0,15.0,15.0
14,17.6,309.8,60.6,24.2,15.2
18,17.6,309.8,60.6,24.2,15.2
12,16.5,271.6,66.7,18.2,15.2
7,8.6,73.1,38.5,6.2,15.4
9,14.9,220.8,53.8,30.8,15.4
17,15.3,234.4,53.8,26.9,15.4
31,28.4,808.3,61.5,21.2,15.4
16,19.7,388.5,56.9,23.5,15.7
21,12.0,143.5,63.2,10.5,15.8
26,28.5,813.4,66.7,17.5,15.8
29,28.5,813.4,66.7,17.5,15.8
12,8.8,76.7,73.7,10.5,15.8
25,28.8,827.1,73.7,10.5,15.8
27,31.9,1017.0,57.1,27.0,15.9
21,21.7,468.7,68.2,15.9,15.9
29,12.9,166.2,64.0,20.0,16.0
20,16.5,270.9,61.3,22.6,16.1
20,16.5,270.9,61.3,22.6,16.1
17,15.9,252.8,64.5,19.4,16.1
18,15.9,252.8,64.5,19.4,16.1
7,14.8,218.4,71.0,12.9,16.1
12,21.0,441.4,64.9,13.5,16.2
28,24.2,583.7,55.8,27.9,16.3
27,15.9,251.2,41.7,37.5,16.7
14,16.7,279.9,56.7,26.7,16.7
10,19.7,389.7,58.3,25.0,16.7
11,12.6,158.8,62.5,20.8,16.7
11,12.6,158.8,62.5,20.8,16.7
12,12.6,158.8,62.5,20.8,16.7
15,12.6,158.8,62.5,20.8,16.7
24,14.7,216.1,62.5,12.5,16.7
25,14.7,216.1,62.5,12.5,16.7
29,14.7,216.1,62.5,12.5,16.7
11,22.1,487.5,64.3,16.7,16.7
10,6.0,36.2,66.7,16.7,16.7
15,20.0,398.0,71.4,11.9,16.7
8,16.9,287.0,72.2,11.1,16.7
20,16.9,287.0,72.2,11.1,16.7
8,10.9,119.2,75.0,8.3,16.7
9,10.9,119.2,75.0,8.3,16.7
10,14.4,207.9,76.7,13.3,16.7
10,14.4,207.9,76.7,13.3,16.7
15,7.9,62.6,77.8,5.6,16.7
23,24.9,620.5,77.8,5.6,16.7
16,10.4,107.3,79.2,4.2,16.7
8,2.5,6.0,83.3,0.0,16.7
10,4.9,24.0,83.3,0.0,16.7
12,2.5,6.0,83.3,0.0,16.7
13,2.5,6.0,83.3,0.0,16.7
18,25.5,648.7,59.6,23.4,17.0
24,25.5,648.7,59.6,23.4,17.0
32,25.5,648.7,59.6,23.4,17.0
26,24.9,620.5,61.7,21.3,17.0
30,26.0,677.0,56.1,17.1,17.1
19,15.7,245.2,65.5,10.3,17.2
5,11.2,125.2,69.6,13.0,17.4
6,11.2,125.2,69.6,13.0,17.4
25,22.3,499.1,47.1,29.4,17.6
6,14.7,215.5,79.4,2.9,17.6
15,14.7,215.5,79.4,2.9,17.6
20,15.4,236.2,64.3,10.7,17.9
18,13.4,178.2,71.4,10.7,17.9
24,22.4,500.0,65.9,15.9,18.2
25,22.4,500.0,65.9,15.9,18.2
11,5.2,26.7,72.7,9.1,18.2
14,21.5,461.4,57.9,21.1,18.4
14,15.2,232.0,63.0,14.8,18.5
13,21.5,462.7,67.4,14.0,18.6
7,6.8,45.8,81.3,10.0,18.8
22,19.6,384.9,62.2,18.9,18.9
16,25.7,661.5,60.9,17.4,19.6
32,25.7,661.5,60.9,17.4,19.6
28,26.6,705.4,40.0,40.0,20.0
9,12.0,144.0,50.0,30.0,20.0
7,14.6,214.3,70.0,10.0,20.0
7,13.5,182.8,76.7,3.3,20.0
34,29.6,877.9,59.3,20.4,20.4
28,26.8,719.8,68.5,11.1,20.4
15,20.4,414.1,64.1,15.4,20.5
22,12.2,148.6,66.7,12.5,20.8
17,16.2,263.1,69.7,9.1,21.2
16,8.4,69.9,64.3,7.1,21.4
25,18.4,337.1,64.3,27.1,21.4
17,24.8,617.0,70.6,7.8,21.6
28,16.0,256.3,51.9,25.9,22.2
33,26.0,676.5,51.9,25.9,22.2
23,15.5,238.7,55.6,22.2,22.2
7,9.7,94.9,61.1,16.7,22.2
24,26.4,696.4,40.0,37.5,22.5
10,7.0,49.3,61.5,15.4,23.1
19,22.0,484.0,61.5,15.4,23.1
11,13.5,181.7,65.4,11.5,23.1
25,13.5,181.7,65.4,11.5,23.1
12,12.9,166.9,69.2,7.7,23.1
17,12.9,166.9,69.2,7.7,23.1
10,5.9,34.8,76.9,11.0,23.1
19,23.0,529.5,50.0,26.3,23.7
7,13.9,194.3,72.4,3.4,24.1
9,13.9,194.3,72.4,3.4,24.1
21,26.5,704.4,40.0,35.0,25.0
10,12.3,152.3,66.7,8.3,25.0
9,14.2,201.9,67.9,7.1,25.0
24,30.6,938.8,57.4,16.7,25.9
15,17.9,321.5,64.7,8.8,26.5
32,17.7,314.7,53.3,20.0,26.7
14,22.7,514.8,68.9,4.4,26.7
25,14.9,223.2,70.0,33.3,26.7
29,15.5,239.6,60.7,10.7,28.6
14,3.5,11.9,71.4,0.0,28.6
22,12.5,156.0,66.7,24.2,29.2
25,15.2,230.7,59.3,11.1,29.6
25,13.3,177.4,56.5,13.0,30.4
12,16.4,267.6,53.8,7.7,30.8
18,14.9,222.0,57.7,11.5,30.8
10,16.1,259.2,45.5,9.1,31.8
15,22.1,486.2,54.1,13.5,32.4
7,2.1,4.6,33.3,33.3,33.3
14,4.3,18.3,33.3,33.3,33.3
8,4.2,17.4,50.0,0.0,33.3
30,32.7,1067.3,34.0,32.1,34.0
32,32.7,1067.3,34.0,32.1,34.0
10,16.2,261.5,50.0,15.4,34.6
11,16.2,261.5,50.0,15.4,34.6
16,17.0,289.7,65.7,31.4,2.9
18,15.3,235.3,74.3,22.9,2.9
18,17.8,316.1,64.7,29.4,2.9
9,16.1,259.2,73.5,20.6,2.9
18,14.5,210.0,76.5,20.6,2.9
20,14.5,210.0,76.5,20.6,2.9
23,14.5,210.0,76.5,20.6,2.9
14,20.7,428.9,57.6,30.3,3.0
16,17.8,317.9,53.1,34.8,3.1
27,17.8,317.9,53.1,37.8,3.1
7,14.5,209.4,71.9,25.0,3.1
22,13.9,193.5,75.0,21.9,3.1
23,13.9,193.5,75.0,21.9,3.1
27,15.9,251.5,61.3,35.5,3.2
9,15.3,234.1,64.5,32.3,3.2
12,13.3,177.7,73.3,23.3,3.3
23,13.3,177.7,73.3,23.3,3.3
15,13.0,170.0,72.4,24.1,3.4
11,10.2,104.9,89.7,6.9,3.4
12,10.2,104.9,89.7,6.9,3.4
9,16.1,259.5,50.0,6.4,3.6
6,11.1,122.5,82.1,14.3,3.6
7,11.1,122.5,82.1,14.3,3.6
7,24.8,617.0,70.6,7.8,21.6
28,16.0,256.3,51.9,25.9,22.2
33,26.0,676.5,51.9,25.9,22.2
23,15.5,238.7,55.6,22.2,22.2
7,9.7,94.9,61.1,16.7,22.2
24,26.4,696.4,40.0,37.5,22.5
10,7.0,49.3,61.5,15.4,23.1
19,22.0,484.0,61.5,15.4,23.1
11,13.5,181.7,65.4,11.5,23.1
25,13.5,181.7,65.4,11.5,23.1
12,12.9,166.9,69.2,7.7,23.1
17,12.9,166.9,69.2,7.7,23.1
10,5.9,34.8,76.9,11.0,23.1
19,23.0,529.5,50.0,26.3,23.7
7,13.9,194.3,72.4,3.4,24.1
9,13.9,194.3,72.4,3.4,24.1
21,26.5,704.4,40.0,35.0,25.0
10,12.3,152.3,66.7,8.3,25.0
9,14.2,201.9,67.9,7.1,25.0
24,30.6,938.8,57.4,16.7,25.9
15,17.9,321.5,64.7,8.8,26.5
32,17.7,314.7,53.3,20.0,26.7
14,22.7,514.8,68.9,4.4,26.7
25,14.9,223.2,70.0,33.3,26.7
29,15.5,239.6,60.7,10.7,28.6
14,3.5,11.9,71.4,0.0,28.6
22,12.5,156.0,66.7,24.2,29.2
25,15.2,230.7,59.3,11.1,29.6
25,13.3,177.4,56.5,13.0,30.4
12,16.4,267.6,53.8,7.7,30.8
18,14.9,222.0,57.7,11.5,30.8
10,16.1,259.2,45.5,9.1,31.8
