SD,CF(PCU/min),CF*2(PCU/min),%_of_2W,%_of_3W,%_of_4W
6,15.7,247.4,66.7,33.3,0.0
7,10.3,106.9,80.8,19.2,0.0
5,8.6,74.3,81.8,18.2,0.0
13,4.4,18.9,100.0,0.0,11.0
19,23.7,559.3,74.1,24.1,1.9
15,21.1,443.5,72.3,25.5,2.1
16,21.1,443.5,72.3,25.5,2.1
20,21.1,443.5,72.3,25.5,2.1
24,23.7,559.8,64.4,28.9,2.2
25,23.7,559.8,64.4,28.9,2.2
24,21.5,462.7,67.4,27.9,2.3
34,21.5,462.7,67.4,27.9,2.3
13,19.2,369.0,70.7,24.4,2.4
31,23.9,572.6,55.0,37.5,2.5
32,21.3,452.4,57.5,40.0,2.5
26,19.8,391.6,66.7,28.2,2.6
30,19.8,391.6,66.7,28.2,2.6
31,19.8,391.6,66.7,28.2,2.6
29,18.3,336.4,68.4,26.3,2.6
13,15.6,242.7,84.2,10.5,2.6
20,17.5,307.3,73.0,21.6,2.7
20,17.5,307.3,73.0,21.6,2.7
31,27.5,757.9,73.0,21.6,2.7
8,15.4,235.9,78.4,18.9,2.7
16,17.0,289.7,65.7,31.4,2.9
18,15.3,235.3,74.3,22.9,2.9
18,17.8,316.1,64.7,29.4,2.9
9,16.1,259.2,73.5,20.6,2.9
18,14.5,210.0,76.5,20.6,2.9
20,14.5,210.0,76.5,20.6,2.9
23,14.5,210.0,76.5,20.6,2.9
14,20.7,428.9,57.6,30.3,3.0
16,17.8,317.9,53.1,34.8,3.1
27,17.8,317.9,53.1,37.8,3.1
7,14.5,209.4,71.9,25.0,3.1
22,13.9,193.5,75.0,21.9,3.1
23,13.9,193.5,75.0,21.9,3.1
27,15.9,251.5,61.3,35.5,3.2
9,15.3,234.1,64.5,32.3,3.2
12,13.3,177.7,73.3,23.3,3.3
23,13.3,177.7,73.3,23.3,3.3
15,13.0,170.0,72.4,24.1,3.4
11,10.2,104.9,89.7,6.9,3.4
12,10.2,104.9,89.7,6.9,3.4
9,16.1,259.5,50.0,6.4,3.6
6,11.1,122.5,82.1,14.3,3.6
7,11.1,122.5,82.1,14.3,3.6
9,11.6,133.6,85.7,7.1,3.6
10,11.6,133.6,85.7,7.1,3.6
12,11.6,133.6,85.7,7.1,3.6
8,10.0,99.0,89.3,7.1,3.6
32,15.8,248.1,55.6,37.0,3.7
8,12.5,155.3,70.4,25.9,3.7
16,13.0,167.7,74.1,18.5,3.7
16,10.2,104.4,85.2,11.1,3.7
6,9.7,93.3,88.9,7.4,3.7
8,9.7,93.3,88.9,7.4,3.7
13,22.3,496.4,79.2,15.1,3.8
30,22.7,513.5,73.1,19.2,3.8
10,11.1,122.1,76.9,19.2,3.8
11,11.1,122.1,76.9,19.2,3.8
11,11.1,122.1,76.9,19.2,3.8
23,26.3,689.1,80.0,12.0,4.0
10,10.1,101.8,84.0,8.0,4.0
4,9.1,82.4,88.0,8.0,4.0
4,9.1,82.4,88.0,8.0,4.0
34,25.6,655.4,61.2,32.7,4.1
11,22.3,496.4,75.5,18.4,4.1
11,19.0,360.6,83.7,12.2,4.1
8,11.6,134.3,66.7,29.2,4.2
29,12.9,165.6,56.5,34.8,4.3
34,27.9,776.7,56.5,34.8,4.3
12,18.7,348.9,80.4,15.2,4.3
4,9.1,82.1,82.6,13.0,4.3
8,8.5,72.3,87.0,8.7,4.3
16,8.5,72.3,87.0,8.7,4.3
13,20.0,400.0,77.8,15.6,4.4
22,11.0,121.2,63.6,31.8,4.5
26,21.0,441.4,63.6,31.8,4.5
19,9.8,95.6,77.3,13.6,4.5
16,22.9,522.1,58.1,37.2,4.7
16,21.1,443.5,67.4,25.6,4.7
34,19.8,390.5,69.0,26.2,4.8
6,9.6,92.2,71.4,23.8,4.8
8,18.1,326.9,76.2,19.0,4.8
14,19.1,366.0,76.2,16.7,4.8
18,11.1,124.1,76.2,9.5,4.8
23,18.1,326.9,76.2,19.0,4.8
12,7.4,54.2,90.5,4.8,4.8
10,18.8,354.9,75.6,17.1,4.9
17,18.3,334.2,78.0,14.6,4.9
10,5.8,33.6,62.5,27.5,5.0
15,20.6,426.0,65.0,25.0,5.0
14,19.4,375.6,69.2,23.1,5.1
15,19.4,375.6,69.2,23.1,5.1
17,8.5,71.6,73.7,21.1,5.3
12,15.8,249.6,78.9,15.8,5.3
14,7.9,62.4,78.9,15.8,5.3
16,7.9,62.4,78.9,15.8,5.3
32,30.5,930.9,60.7,30.4,5.4
26,18.8,353.4,67.6,24.3,5.4
10,18.0,324.7,63.9,30.6,5.6
11,16.9,285.6,69.4,25.0,5.6
14,16.9,285.6,69.4,25.0,5.6
4,8.6,74.3,72.2,16.7,5.6
13,16.3,267.0,72.2,22.2,5.6
7,5.9,35.2,94.4,12.0,5.6
27,17.7,314.4,62.9,31.4,5.7
29,17.7,314.4,62.9,31.4,5.7
14,14.4,206.5,80.0,14.3,5.7
11,13.3,175.6,85.7,8.6,5.7
17,28.1,790.7,63.5,25.0,5.8
33,22.8,520.3,75.0,19.2,5.8
13,17.4,304.2,61.8,32.4,5.9
16,17.4,304.2,61.8,32.4,5.9
19,17.4,304.2,61.8,32.4,5.9
20,17.4,304.2,61.8,32.4,5.9
12,8.4,71.2,64.7,29.4,5.9
5,7.9,62.1,70.6,23.5,5.9
8,15.8,248.4,70.6,23.5,5.9
32,19.2,367.1,86.3,7.8,5.9
9,12.4,153.8,88.2,5.9,5.9
14,17.2,294.1,60.6,33.3,6.1
19,14.9,222.3,72.7,21.2,6.1
10,14.4,205.9,75.8,18.2,6.1
10,14.4,205.9,75.8,18.2,6.1
14,13.8,190.2,78.8,15.2,6.1
26,13.8,190.2,78.8,15.2,6.1
23,21.9,481.4,73.5,20.4,6.1
18,16.8,280.6,62.5,28.1,6.3
17,23.2,539.2,68.8,22.9,6.3
14,12.9,167.4,81.3,12.5,6.3
19,15.5,238.7,64.5,29.0,6.5
25,14.3,205.3,71.0,22.6,6.5
16,13.8,189.6,74.2,19.4,6.5
34,27.3,743.7,74.2,26.5,6.5
16,12.7,160.0,80.6,12.9,6.5
24,25.2,634.5,57.8,33.3,6.7
2,3.5,12.1,73.3,20.0,6.7
13,13.5,181.7,73.3,20.0,6.7
12,13.4,179.8,80.0,10.0,6.7
12,13.9,192.1,80.0,6.7,6.7
23,13.9,192.1,80.0,26.7,6.7
9,5.1,25.6,93.3,17.0,6.7
21,18.3,333.1,79.5,13.6,6.8
34,32.3,1040.1,79.5,13.6,6.8
15,13.8,189.1,69.0,24.1,6.9
31,24.2,584.2,54.8,33.3,7.1
19,15.1,229.2,57.1,35.7,7.1
11,23.1,531.3,59.5,28.6,7.1
9,21.0,442.3,64.3,28.6,7.1
28,21.5,463.1,66.7,23.8,7.1
25,14.0,194.6,71.4,17.9,7.1
9,12.3,152.3,75.0,17.9,7.1
12,12.3,152.3,75.0,17.9,7.1
32,27.8,770.1,63.6,29.1,7.3
17,19.1,363.3,70.7,22.0,7.3
20,20.1,404.4,70.7,19.5,7.3
11,18.5,342.3,73.2,19.5,7.3
14,17.9,321.8,75.6,17.1,7.3
4,6.8,46.5,80.5,12.2,7.3
7,14.8,218.4,63.0,25.9,7.4
23,13.2,173.4,66.7,25.9,7.4
24,13.2,173.4,66.7,25.9,7.4
7,12.6,159.0,70.4,22.2,7.4
28,23.4,549.0,77.8,13.0,7.4
4,10.9,119.5,81.5,11.1,7.4
6,10.9,119.5,81.5,11.1,7.4
11,18.2,331.6,72.5,20.0,7.5
17,18.2,331.6,72.5,20.0,7.5
20,18.2,331.6,72.5,20.0,7.5
9,17.7,311.5,75.0,17.5,7.5
5,3.1,9.5,77.5,15.0,7.5
20,16.1,257.9,53.8,30.8,7.7
28,31.9,1017.0,55.4,35.4,7.7
18,20.7,429.3,59.0,33.3,7.7
23,29.0,839.8,61.5,26.9,7.7
28,29.0,839.8,61.5,26.9,7.7
14,14.4,207.9,69.2,15.4,7.7
14,6.7,44.2,76.9,7.7,7.7
15,10.6,113.2,80.8,11.5,7.7
9,5.0,25.4,84.6,7.7,7.7
27,26.0,677.6,62.7,29.4,7.8
31,25.9,668.7,66.7,23.5,7.8
16,20.4,417.4,82.4,9.8,7.8
31,20.4,417.4,82.4,9.8,7.8
31,25.6,656.9,64.0,26.0,8.0
21,12.0,144.7,68.0,24.0,8.0
12,24.6,602.7,70.0,20.0,8.0
8,12.5,156.8,72.0,16.0,8.0
10,9.8,95.8,84.0,8.0,8.0
18,17.3,300.7,70.3,21.6,8.1
10,3.8,14.2,67.3,24.5,8.2
8,3.0,8.8,77.6,14.3,8.2
33,21.0,439.7,77.6,14.3,8.2
10,19.3,372.1,58.3,33.3,8.3
14,19.3,372.1,58.3,33.3,8.3
32,22.4,503.6,58.3,25.0,8.3
33,25.1,627.5,62.5,27.1,8.3
7,5.9,34.5,66.7,25.0,8.3
8,5.9,34.5,66.7,25.0,8.3
11,17.1,290.7,69.4,22.2,8.3
9,5.3,28.2,75.0,16.7,8.3
9,4.8,22.6,83.3,8.3,8.3
13,8.9,79.9,87.5,4.2,8.3
14,8.9,79.9,87.5,4.2,8.3
21,19.3,371.3,80.9,10.6,8.5
14,17.9,319.7,62.9,28.6,8.6
17,18.9,358.3,62.9,25.7,8.6
19,14.5,210.8,80.0,11.4,8.6
20,14.5,210.8,80.0,11.4,8.6
16,22.9,524.4,65.2,26.1,8.7
25,31.5,989.1,65.2,26.1,8.7
28,11.5,131.1,65.2,26.1,8.7
10,10.3,106.7,73.9,17.4,8.7
9,19.2,368.6,58.8,29.4,8.8
18,19.2,368.6,58.8,29.4,8.8
22,19.2,368.6,58.8,29.4,8.8
22,19.2,368.6,58.8,29.4,8.8
23,19.2,368.6,58.8,29.4,8.8
27,17.0,290.0,64.7,26.5,8.8
15,20.3,410.5,75.6,13.3,8.9
16,21.8,473.5,65.9,25.0,9.1
19,28.3,799.8,67.3,20.0,9.1
12,10.0,100.8,72.7,18.2,9.1
20,8.9,79.6,81.8,9.1,9.1
32,18.7,348.6,76.7,14.0,9.3
21,18.5,342.6,59.4,25.0,9.4
11,13.7,186.3,78.1,12.5,9.4
29,12.0,143.8,52.4,38.1,9.5
27,20.6,425.2,66.7,23.8,9.5
16,9.2,84.5,76.2,14.3,9.5
2,8.1,65.1,85.7,4.8,9.5
22,17.8,315.8,58.1,29.0,9.7
33,26.2,684.3,61.3,29.0,9.7
